wid,age,country,gender,marital,parenthood,predicted_category
1300,27,USA,m,married,y,achievement
102,27,IND,f,married,y,affection
449,28,AUS,m,married,y,achievement
555,30,IND,m,married,y,achievement
2628,25,IND,f,single,n,achievement
1028,26,IND,f,married,y,enjoy_the_moment
76,29,IND,m,married,y,exercise
689,23,IND,f,single,n,affection
5046,44,USA,f,married,y,enjoy_the_moment
5116,25,USA,m,single,n,enjoy_the_moment
1199,26,IND,f,married,y,achievement
1517,22,USA,m,single,n,bonding
251,22,USA,m,single,n,achievement
681,29,USA,f,married,y,affection
3704,22,VEN,f,single,n,achievement
738,32,IND,m,married,y,enjoy_the_moment
9896,32,USA,m,single,n,leisure
932,21,IND,m,single,n,achievement
8662,29,USA,f,single,y,enjoy_the_moment
1094,23,LTU,m,single,n,enjoy_the_moment
4148,22,AUS,m,single,n,affection
1057,27,IND,m,married,y,nature
11573,24,IND,m,single,n,affection
13,45,IND,m,married,y,affection
2349,21,USA,f,single,n,achievement
24,35,IND,f,single,n,affection
72,25,BGR,m,single,y,achievement
2029,55,USA,m,married,n,affection
120,25,BGD,m,single,n,affection
266,32,IND,f,married,y,affection
3009,45,IND,f,married,y,affection
479,27,USA,f,single,n,achievement
905,24,IDN,m,single,n,bonding
2032,28,USA,m,single,y,enjoy_the_moment
820,24,USA,m,single,n,achievement
341,29,IND,f,married,y,affection
455,29,IND,m,married,y,affection
435,27,IND,m,single,n,affection
1719,22,IND,m,single,y,achievement
4714,46,IND,m,married,y,affection
3895,46,USA,f,married,y,affection
3930,41,USA,m,single,n,achievement
600,41,IND,f,married,y,bonding
3433,35,BEL,m,single,n,affection
2894,46,USA,f,single,n,affection
1764,33,IND,f,married,y,achievement
376,23,CAN,f,single,n,achievement
213,30,USA,f,married,y,exercise
5925,33,USA,f,married,y,affection
1827,22,SGP,m,single,n,achievement
1189,33,IND,f,married,y,achievement
4706,33,USA,m,single,n,bonding
229,35,USA,f,single,n,achievement
496,49,USA,m,single,n,nature
802,40,IND,m,married,y,achievement
1983,39,USA,m,married,y,achievement
924,25,IND,f,married,y,affection
4002,37,IND,m,married,y,exercise
146,25,IND,m,single,n,affection
220,22,USA,m,single,n,leisure
38,26,GBR,m,single,y,affection
503,40,GBR,m,single,n,achievement
51,30,IND,m,single,n,achievement
1063,25,IND,f,married,n,bonding
6724,55,USA,m,single,n,affection
12002,52,USA,m,single,n,affection
3678,25,USA,f,married,n,enjoy_the_moment
1836,31,IND,m,married,y,affection
786,30,USA,f,single,n,enjoy_the_moment
81,30,IND,m,single,y,bonding
699,21,IND,m,single,n,bonding
5,29,USA,m,married,y,leisure
947,25,USA,m,single,n,exercise
9386,45,USA,f,widowed,y,affection
18,30,USA,m,single,n,enjoy_the_moment
60,29,USA,m,single,n,affection
50,30,IND,m,single,y,achievement
179,22,USA,m,single,y,affection
728,36,IRL,f,married,y,affection
1115,38,USA,f,married,y,exercise
3400,39,USA,f,married,n,affection
158,30,IND,m,single,n,affection
86,27,USA,m,single,n,achievement
5050,21,USA,m,married,n,affection
1,37,USA,m,married,y,affection
12107,52,USA,f,married,y,affection
26,31,IND,f,married,y,affection
2333,36,USA,m,single,y,achievement
1232,35,IND,m,married,y,achievement
570,19,IND,m,single,n,achievement
746,25,USA,m,single,n,affection
4545,32,USA,f,married,y,affection
1844,29,USA,f,married,y,affection
847,23,USA,m,single,n,achievement
2394,30,USA,m,single,n,achievement
8938,34,USA,m,married,y,affection
2030,31,USA,f,married,n,affection
103,26,USA,f,single,y,affection
2464,41,USA,f,married,y,achievement
1672,29,USA,m,single,n,bonding
768,53,USA,f,married,y,affection
1045,34,USA,m,married,y,bonding
2053,35,USA,m,single,n,leisure
2,29,IND,m,married,y,affection
1936,30,USA,f,married,y,affection
206,28,DNK,f,married,n,nature
6227,55,USA,f,divorced,y,affection
45,23,IND,m,single,n,bonding
195,30,USA,m,single,n,achievement
740,23,IND,m,single,n,bonding
3,25,IND,m,single,n,enjoy_the_moment
4833,41,USA,f,married,y,affection
7334,37,USA,m,single,y,affection
78,28,USA,f,married,y,enjoy_the_moment
21,29,IND,m,single,y,affection
8,29,VNM,m,single,n,affection
586,28,IND,f,single,y,leisure
489,39,IND,m,married,y,achievement
976,25,KWT,f,married,y,affection
3972,28,USA,m,single,n,affection
14,25,IND,m,married,y,affection
1230,32,USA,f,single,n,affection
9950,38,USA,f,single,n,bonding
4862,42,IND,m,married,y,affection
4891,25,USA,m,single,n,achievement
737,25,IND,f,single,y,bonding
498,27,IND,m,married,y,achievement
2124,22,USA,m,single,n,achievement
156,47,USA,f,married,n,affection
1783,26,USA,m,single,n,bonding
54,29,IND,f,married,y,affection
794,37,USA,m,single,n,affection
1510,38,USA,m,single,n,exercise
6215,32,USA,f,married,y,affection
402,26,USA,m,married,n,affection
2957,34,USA,m,married,y,affection
261,25,IND,f,married,y,affection
516,29,USA,m,single,y,affection
1215,26,IND,m,married,y,bonding
848,30,USA,f,married,y,affection
396,34,IND,f,married,y,nature
4,32,USA,m,married,y,affection
2272,27,USA,m,single,n,achievement
157,33,IND,m,married,n,leisure
466,32,IND,m,married,y,affection
1566,48,USA,m,divorced,y,affection
36,37,USA,m,single,n,achievement
2019,25,USA,m,married,y,achievement
4109,40,USA,m,married,y,affection
373,26,USA,f,single,n,bonding
10576,31,PHL,m,married,n,achievement
2129,34,IND,f,married,y,nature
553,32,IND,m,married,y,achievement
311,27,USA,m,single,n,enjoy_the_moment
104,25,GBR,m,married,n,achievement
3284,25,USA,m,single,n,achievement
2776,26,USA,f,single,n,affection
25,32,IND,m,married,y,achievement
257,27,IND,f,single,n,affection
13224,25,IND,m,single,n,achievement
1377,36,USA,m,single,n,achievement
5652,18,USA,m,single,n,leisure
57,34,USA,m,single,n,bonding
612,28,IND,m,married,y,achievement
2646,41,IND,m,married,y,affection
2794,41,IND,m,separated,n,achievement
9885,33,USA,f,married,y,affection
6186,31,IND,f,married,y,enjoy_the_moment
491,30,IND,f,married,y,leisure
1020,37,IND,m,married,y,achievement
1625,25,IND,m,single,n,achievement
1782,33,USA,m,single,n,achievement
330,51,USA,m,divorced,y,achievement
589,30,USA,m,single,n,exercise
35,26,IND,m,single,n,affection
524,42,USA,m,married,y,bonding
477,29,IND,f,married,y,achievement
37,23,USA,m,single,n,leisure
215,26,IND,m,married,n,affection
2416,26,FIN,f,single,n,enjoy_the_moment
8589,31,USA,f,married,n,achievement
237,27,IND,m,married,n,achievement
69,23,USA,m,married,y,affection
648,24,IND,m,married,n,bonding
1430,33,USA,m,single,n,achievement
15,27,USA,m,married,y,achievement
1300,27,USA,m,married,y,affection
102,27,IND,f,married,y,leisure
449,28,AUS,m,married,y,affection
555,30,IND,m,married,y,enjoy_the_moment
2628,25,IND,f,single,n,enjoy_the_moment
1028,26,IND,f,married,y,affection
76,29,IND,m,married,y,bonding
689,23,IND,f,single,n,affection
5046,44,USA,f,married,y,affection
5116,25,USA,m,single,n,affection
1199,26,IND,f,married,y,bonding
1517,22,USA,m,single,n,affection
251,22,USA,m,single,n,achievement
681,29,USA,f,married,y,achievement
3704,22,VEN,f,single,n,achievement
738,32,IND,m,married,y,enjoy_the_moment
9896,32,USA,m,single,n,enjoy_the_moment
932,21,IND,m,single,n,achievement
8662,29,USA,f,single,y,affection
1094,23,LTU,m,single,n,leisure
4148,22,AUS,m,single,n,nature
1057,27,IND,m,married,y,achievement
11573,24,IND,m,single,n,enjoy_the_moment
13,45,IND,m,married,y,achievement
2349,21,USA,f,single,n,bonding
24,35,IND,f,single,n,bonding
72,25,BGR,m,single,y,affection
2029,55,USA,m,married,n,affection
120,25,BGD,m,single,n,affection
266,32,IND,f,married,y,enjoy_the_moment
3009,45,IND,f,married,y,achievement
479,27,USA,f,single,n,affection
905,24,IDN,m,single,n,achievement
2032,28,USA,m,single,y,achievement
820,24,USA,m,single,n,affection
341,29,IND,f,married,y,achievement
455,29,IND,m,married,y,nature
435,27,IND,m,single,n,bonding
1719,22,IND,m,single,y,bonding
4714,46,IND,m,married,y,enjoy_the_moment
3895,46,USA,f,married,y,achievement
3930,41,USA,m,single,n,achievement
600,41,IND,f,married,y,affection
3433,35,BEL,m,single,n,achievement
2894,46,USA,f,single,n,enjoy_the_moment
1764,33,IND,f,married,y,affection
376,23,CAN,f,single,n,enjoy_the_moment
213,30,USA,f,married,y,achievement
5925,33,USA,f,married,y,affection
1827,22,SGP,m,single,n,leisure
1189,33,IND,f,married,y,achievement
4706,33,USA,m,single,n,leisure
229,35,USA,f,single,n,bonding
496,49,USA,m,single,n,achievement
802,40,IND,m,married,y,bonding
1983,39,USA,m,married,y,achievement
924,25,IND,f,married,y,achievement
4002,37,IND,m,married,y,achievement
146,25,IND,m,single,n,achievement
220,22,USA,m,single,n,achievement
38,26,GBR,m,single,y,achievement
503,40,GBR,m,single,n,achievement
51,30,IND,m,single,n,bonding
1063,25,IND,f,married,n,bonding
6724,55,USA,m,single,n,achievement
12002,52,USA,m,single,n,achievement
3678,25,USA,f,married,n,bonding
1836,31,IND,m,married,y,affection
786,30,USA,f,single,n,affection
81,30,IND,m,single,y,bonding
699,21,IND,m,single,n,affection
5,29,USA,m,married,y,bonding
947,25,USA,m,single,n,achievement
9386,45,USA,f,widowed,y,affection
18,30,USA,m,single,n,achievement
60,29,USA,m,single,n,achievement
50,30,IND,m,single,y,achievement
179,22,USA,m,single,y,leisure
728,36,IRL,f,married,y,nature
1115,38,USA,f,married,y,affection
3400,39,USA,f,married,n,affection
158,30,IND,m,single,n,affection
86,27,USA,m,single,n,achievement
5050,21,USA,m,married,n,leisure
1,37,USA,m,married,y,affection
12107,52,USA,f,married,y,affection
26,31,IND,f,married,y,affection
2333,36,USA,m,single,y,affection
1232,35,IND,m,married,y,achievement
570,19,IND,m,single,n,bonding
746,25,USA,m,single,n,achievement
4545,32,USA,f,married,y,affection
1844,29,USA,f,married,y,affection
847,23,USA,m,single,n,achievement
2394,30,USA,m,single,n,enjoy_the_moment
8938,34,USA,m,married,y,achievement
2030,31,USA,f,married,n,achievement
103,26,USA,f,single,y,affection
2464,41,USA,f,married,y,affection
1672,29,USA,m,single,n,leisure
768,53,USA,f,married,y,bonding
1045,34,USA,m,married,y,bonding
2053,35,USA,m,single,n,leisure
2,29,IND,m,married,y,achievement
1936,30,USA,f,married,y,bonding
206,28,DNK,f,married,n,affection
6227,55,USA,f,divorced,y,affection
45,23,IND,m,single,n,enjoy_the_moment
195,30,USA,m,single,n,affection
740,23,IND,m,single,n,bonding
3,25,IND,m,single,n,affection
4833,41,USA,f,married,y,affection
7334,37,USA,m,single,y,affection
78,28,USA,f,married,y,affection
21,29,IND,m,single,y,achievement
8,29,VNM,m,single,n,bonding
586,28,IND,f,single,y,enjoy_the_moment
489,39,IND,m,married,y,affection
976,25,KWT,f,married,y,affection
3972,28,USA,m,single,n,leisure
14,25,IND,m,married,y,achievement
1230,32,USA,f,single,n,achievement
9950,38,USA,f,single,n,achievement
4862,42,IND,m,married,y,achievement
4891,25,USA,m,single,n,achievement
737,25,IND,f,single,y,enjoy_the_moment
498,27,IND,m,married,y,achievement
2124,22,USA,m,single,n,achievement
156,47,USA,f,married,n,enjoy_the_moment
1783,26,USA,m,single,n,achievement
54,29,IND,f,married,y,affection
794,37,USA,m,single,n,achievement
1510,38,USA,m,single,n,enjoy_the_moment
6215,32,USA,f,married,y,achievement
402,26,USA,m,married,n,affection
2957,34,USA,m,married,y,enjoy_the_moment
261,25,IND,f,married,y,bonding
516,29,USA,m,single,y,achievement
1215,26,IND,m,married,y,affection
848,30,USA,f,married,y,affection
396,34,IND,f,married,y,affection
4,32,USA,m,married,y,achievement
2272,27,USA,m,single,n,achievement
157,33,IND,m,married,n,leisure
466,32,IND,m,married,y,bonding
1566,48,USA,m,divorced,y,achievement
36,37,USA,m,single,n,achievement
2019,25,USA,m,married,y,achievement
4109,40,USA,m,married,y,bonding
373,26,USA,f,single,n,achievement
10576,31,PHL,m,married,n,achievement
2129,34,IND,f,married,y,affection
553,32,IND,m,married,y,affection
311,27,USA,m,single,n,achievement
104,25,GBR,m,married,n,affection
3284,25,USA,m,single,n,bonding
2776,26,USA,f,single,n,affection
25,32,IND,m,married,y,achievement
257,27,IND,f,single,n,affection
13224,25,IND,m,single,n,leisure
1377,36,USA,m,single,n,affection
5652,18,USA,m,single,n,bonding
57,34,USA,m,single,n,leisure
612,28,IND,m,married,y,affection
2646,41,IND,m,married,y,affection
2794,41,IND,m,separated,n,achievement
9885,33,USA,f,married,y,affection
6186,31,IND,f,married,y,affection
491,30,IND,f,married,y,achievement
1020,37,IND,m,married,y,bonding
1625,25,IND,m,single,n,achievement
1782,33,USA,m,single,n,achievement
330,51,USA,m,divorced,y,achievement
589,30,USA,m,single,n,leisure
35,26,IND,m,single,n,bonding
524,42,USA,m,married,y,affection
477,29,IND,f,married,y,enjoy_the_moment
37,23,USA,m,single,n,bonding
215,26,IND,m,married,n,affection
2416,26,FIN,f,single,n,achievement
8589,31,USA,f,married,n,affection
237,27,IND,m,married,n,bonding
69,23,USA,m,married,y,achievement
648,24,IND,m,married,n,achievement
1430,33,USA,m,single,n,achievement
15,27,USA,m,married,y,affection
1300,27,USA,m,married,y,achievement
102,27,IND,f,married,y,affection
449,28,AUS,m,married,y,affection
555,30,IND,m,married,y,achievement
2628,25,IND,f,single,n,enjoy_the_moment
1028,26,IND,f,married,y,affection
76,29,IND,m,married,y,achievement
689,23,IND,f,single,n,bonding
5046,44,USA,f,married,y,affection
5116,25,USA,m,single,n,affection
1199,26,IND,f,married,y,achievement
1517,22,USA,m,single,n,achievement
251,22,USA,m,single,n,enjoy_the_moment
681,29,USA,f,married,y,affection
3704,22,VEN,f,single,n,bonding
738,32,IND,m,married,y,enjoy_the_moment
9896,32,USA,m,single,n,enjoy_the_moment
932,21,IND,m,single,n,affection
8662,29,USA,f,single,y,affection
1094,23,LTU,m,single,n,leisure
4148,22,AUS,m,single,n,bonding
1057,27,IND,m,married,y,leisure
11573,24,IND,m,single,n,affection
13,45,IND,m,married,y,nature
2349,21,USA,f,single,n,affection
24,35,IND,f,single,n,affection
72,25,BGR,m,single,y,achievement
2029,55,USA,m,married,n,achievement
120,25,BGD,m,single,n,affection
266,32,IND,f,married,y,affection
3009,45,IND,f,married,y,affection
479,27,USA,f,single,n,leisure
905,24,IDN,m,single,n,enjoy_the_moment
2032,28,USA,m,single,y,achievement
820,24,USA,m,single,n,achievement
341,29,IND,f,married,y,enjoy_the_moment
455,29,IND,m,married,y,nature
435,27,IND,m,single,n,affection
1719,22,IND,m,single,y,achievement
4714,46,IND,m,married,y,achievement
3895,46,USA,f,married,y,affection
3930,41,USA,m,single,n,enjoy_the_moment
600,41,IND,f,married,y,affection
3433,35,BEL,m,single,n,enjoy_the_moment
2894,46,USA,f,single,n,bonding
1764,33,IND,f,married,y,bonding
376,23,CAN,f,single,n,enjoy_the_moment
213,30,USA,f,married,y,achievement
5925,33,USA,f,married,y,achievement
1827,22,SGP,m,single,n,leisure
1189,33,IND,f,married,y,affection
4706,33,USA,m,single,n,bonding
229,35,USA,f,single,n,achievement
496,49,USA,m,single,n,enjoy_the_moment
802,40,IND,m,married,y,affection
1983,39,USA,m,married,y,bonding
924,25,IND,f,married,y,bonding
4002,37,IND,m,married,y,affection
146,25,IND,m,single,n,achievement
220,22,USA,m,single,n,bonding
38,26,GBR,m,single,y,affection
503,40,GBR,m,single,n,leisure
51,30,IND,m,single,n,achievement
1063,25,IND,f,married,n,bonding
6724,55,USA,m,single,n,leisure
12002,52,USA,m,single,n,affection
3678,25,USA,f,married,n,nature
1836,31,IND,m,married,y,affection
786,30,USA,f,single,n,leisure
81,30,IND,m,single,y,achievement
699,21,IND,m,single,n,bonding
5,29,USA,m,married,y,affection
947,25,USA,m,single,n,nature
9386,45,USA,f,widowed,y,enjoy_the_moment
18,30,USA,m,single,n,bonding
60,29,USA,m,single,n,leisure
50,30,IND,m,single,y,affection
179,22,USA,m,single,y,nature
728,36,IRL,f,married,y,nature
1115,38,USA,f,married,y,leisure
3400,39,USA,f,married,n,enjoy_the_moment
158,30,IND,m,single,n,achievement
86,27,USA,m,single,n,affection
5050,21,USA,m,married,n,affection
1,37,USA,m,married,y,affection
12107,52,USA,f,married,y,achievement
26,31,IND,f,married,y,nature
2333,36,USA,m,single,y,achievement
1232,35,IND,m,married,y,achievement
570,19,IND,m,single,n,affection
746,25,USA,m,single,n,enjoy_the_moment
4545,32,USA,f,married,y,leisure
1844,29,USA,f,married,y,enjoy_the_moment
847,23,USA,m,single,n,achievement
2394,30,USA,m,single,n,achievement
8938,34,USA,m,married,y,bonding
2030,31,USA,f,married,n,affection
103,26,USA,f,single,y,affection
2464,41,USA,f,married,y,achievement
1672,29,USA,m,single,n,achievement
768,53,USA,f,married,y,affection
1045,34,USA,m,married,y,achievement
634,32,USA,m,single,n,bonding
1647,38,USA,f,married,n,affection
16,35,USA,m,single,n,affection
2836,25,USA,m,single,n,enjoy_the_moment
3505,32,USA,m,married,n,exercise
1156,30,USA,m,married,y,affection
4203,28,USA,m,single,n,enjoy_the_moment
11423,24,USA,m,single,n,achievement
830,26,USA,m,single,n,bonding
9291,32,USA,f,married,y,affection
1683,23,USA,m,single,n,achievement
5304,38,USA,f,single,n,enjoy_the_moment
197,24,USA,m,single,n,affection
1965,25,USA,m,single,n,enjoy_the_moment
1135,29,PER,m,single,n,bonding
3212,34,USA,f,married,y,affection
44,42,USA,f,single,n,enjoy_the_moment
402,26,USA,m,married,n,bonding
9964,36,USA,f,married,y,achievement
9264,22,USA,m,single,n,bonding
5232,22,USA,m,single,n,affection
3965,46,USA,m,divorced,y,bonding
2692,22,USA,f,single,n,enjoy_the_moment
1397,22,USA,m,single,n,achievement
4796,30,USA,m,single,n,achievement
1729,22,USA,m,single,n,achievement
551,29,USA,m,single,n,achievement
10459,26,USA,m,single,n,leisure
598,23,USA,f,single,n,leisure
361,31,USA,m,single,n,bonding
1821,25,USA,f,married,y,achievement
2563,43,USA,f,single,y,affection
4155,33,USA,m,single,n,leisure
3315,20,USA,f,single,n,exercise
4325,25,USA,m,single,n,enjoy_the_moment
98,34,USA,m,married,y,affection
13735,23,USA,m,single,n,enjoy_the_moment
1659,37,USA,m,married,n,achievement
702,29,USA,m,married,n,affection
4456,22,USA,m,single,n,affection
3236,28,USA,m,married,y,affection
2352,24,USA,f,married,n,affection
2336,26,USA,m,single,n,affection
563,41,USA,m,divorced,n,nature
10468,30,USA,m,married,n,affection
4267,25,USA,m,single,n,affection
13634,37,USA,m,married,y,achievement
8832,33,USA,f,single,n,affection
2105,27,USA,m,married,n,affection
2543,30,USA,f,single,n,affection
4403,38,USA,f,married,y,achievement
593,48,USA,f,married,y,achievement
4880,41,USA,f,married,y,affection
3851,25,IND,m,married,y,enjoy_the_moment
836,27,USA,m,married,y,achievement
2125,24,USA,m,divorced,n,bonding
7967,36,USA,f,married,n,enjoy_the_moment
10141,37,USA,f,single,n,bonding
4073,31,USA,m,single,n,achievement
12715,24,USA,m,single,n,achievement
1988,29,USA,f,married,y,achievement
6944,53,USA,m,married,y,affection
391,36,USA,m,married,n,enjoy_the_moment
13097,20,USA,f,single,n,achievement
4509,22,USA,m,single,n,affection
5710,37,USA,m,single,y,bonding
325,34,USA,m,single,n,achievement
639,27,USA,m,single,n,bonding
1922,28,USA,m,single,n,exercise
1297,25,USA,f,single,n,achievement
2669,45,USA,f,single,n,nature
398,29,USA,m,single,n,exercise
1061,38,USA,m,married,y,affection
545,27,USA,f,single,y,exercise
2324,39,USA,m,single,n,nature
1838,25,USA,m,single,y,achievement
1180,29,USA,m,single,n,achievement
10965,28,USA,f,married,y,achievement
1017,30,USA,f,single,n,leisure
1361,27,USA,f,single,y,affection
6739,29,USA,m,divorced,n,leisure
1144,31,USA,m,single,n,nature
1219,29,USA,m,single,n,achievement
417,25,USA,m,single,n,affection
9593,27,USA,m,married,n,enjoy_the_moment
47,41,USA,m,married,n,exercise
6334,51,USA,f,married,y,bonding
1092,32,USA,m,single,n,enjoy_the_moment
2152,28,USA,f,married,y,affection
1812,41,USA,f,married,y,achievement
1273,39,USA,m,married,y,achievement
6836,27,USA,f,single,n,achievement
10357,34,USA,f,married,y,exercise
452,52,USA,m,married,y,achievement
2035,23,USA,m,single,n,achievement
865,27,USA,m,single,n,affection
143,29,USA,m,married,y,enjoy_the_moment
4955,33,USA,m,single,n,achievement
1675,32,USA,m,single,n,enjoy_the_moment
2784,43,USA,m,married,y,achievement
210,26,USA,m,single,n,bonding
5001,33,USA,m,married,y,achievement
129,25,USA,m,single,n,achievement
4985,24,GBR,m,single,n,achievement
2072,33,USA,m,married,y,affection
1003,26,USA,m,married,n,achievement
3051,53,USA,m,married,y,affection
1544,21,USA,f,single,n,bonding
3988,34,USA,m,married,y,enjoy_the_moment
1684,35,USA,m,married,y,achievement
6351,36,USA,f,single,n,achievement
11574,30,USA,m,single,n,nature
124,28,USA,m,single,n,exercise
11424,25,USA,m,single,n,exercise
4947,24,USA,f,single,n,affection
1236,28,USA,m,single,n,bonding
2432,33,USA,m,single,n,achievement
233,26,USA,m,single,n,achievement
2159,26,USA,m,single,n,enjoy_the_moment
4786,26,USA,f,single,n,bonding
3451,27,USA,f,single,n,affection
8606,35,USA,f,married,y,enjoy_the_moment
3084,25,USA,f,single,n,enjoy_the_moment
815,24,USA,m,single,n,bonding
262,26,USA,f,single,n,affection
11,45,USA,m,divorced,n,enjoy_the_moment
1692,23,USA,f,single,n,enjoy_the_moment
1910,50,USA,m,divorced,y,exercise
392,49,USA,f,married,y,affection
12850,34,USA,m,married,y,achievement
55,26,IND,m,married,y,achievement
1213,49,USA,f,married,y,affection
12955,21,USA,f,single,n,achievement
1814,22,USA,m,single,n,leisure
2088,32,USA,m,married,n,affection
1381,39,USA,f,married,y,affection
8028,44,USA,f,married,y,affection
2366,30,USA,o,single,n,exercise
4537,28,USA,f,single,n,affection
1203,32,USA,m,married,n,achievement
693,25,USA,f,single,y,affection
11010,27,USA,m,single,n,achievement
2453,25,USA,f,single,n,bonding
1359,32,USA,m,single,n,enjoy_the_moment
126,34,USA,m,married,y,affection
63,25,USA,m,single,n,achievement
823,28,USA,m,married,y,affection
357,26,USA,m,married,n,affection
4254,41,USA,m,single,n,achievement
9814,21,USA,m,single,n,affection
5439,23,USA,m,single,n,leisure
28,36,USA,m,married,y,leisure
1991,33,USA,m,married,y,bonding
3221,22,USA,f,married,y,affection
140,33,PRT,m,married,n,leisure
2258,32,USA,m,single,n,leisure
8412,25,USA,f,single,n,bonding
1574,39,USA,m,single,n,achievement
1880,35,USA,f,married,y,affection
986,24,USA,f,single,n,achievement
987,28,USA,m,single,n,achievement
314,33,USA,m,married,n,enjoy_the_moment
395,33,USA,m,single,n,achievement
11212,31,USA,f,divorced,y,achievement
519,32,USA,f,single,n,achievement
2481,42,USA,m,married,n,affection
525,52,USA,m,married,y,affection
423,29,USA,f,married,n,enjoy_the_moment
7698,38,USA,m,married,n,leisure
22,32,USA,m,single,n,achievement
234,25,USA,m,single,n,achievement
1474,23,USA,m,single,n,affection
4101,23,USA,m,single,n,achievement
697,26,USA,m,single,n,affection
1304,43,USA,m,married,y,affection
5695,33,USA,o,single,y,affection
3324,24,USA,m,single,n,affection
4266,27,USA,m,married,n,affection
950,25,GBR,f,single,n,achievement
301,41,USA,f,married,y,affection
1004,33,USA,m,married,y,achievement
1152,25,USA,m,single,n,achievement
1473,38,USA,m,married,y,achievement
13496,22,USA,m,single,n,leisure
2209,43,USA,f,married,y,affection
1489,35,USA,m,single,n,achievement
453,44,USA,f,divorced,y,enjoy_the_moment
1071,29,USA,m,married,n,affection
302,25,USA,m,single,n,achievement
298,26,USA,f,single,n,affection
11191,27,IND,m,single,n,affection
1000,31,USA,f,married,n,achievement
638,31,USA,m,married,n,achievement
9360,27,USA,f,married,y,affection
620,25,VEN,m,single,n,achievement
2797,53,GBR,m,married,y,nature
2888,22,USA,m,single,n,affection
2203,27,USA,f,married,n,achievement
4730,31,USA,f,single,n,affection
2580,29,USA,f,married,y,achievement
250,43,USA,f,married,y,affection
1866,38,USA,f,married,y,achievement
2079,24,USA,f,single,n,leisure
618,32,USA,m,single,n,enjoy_the_moment
659,30,USA,f,single,y,bonding
1,37,USA,m,married,y,achievement
380,26,USA,m,single,n,achievement
880,25,USA,f,single,n,bonding
93,35,USA,m,single,y,achievement
1556,42,USA,f,married,n,affection
624,34,USA,m,single,n,achievement
1853,21,USA,f,single,n,enjoy_the_moment
549,30,USA,o,married,y,affection
577,33,USA,f,married,n,affection
3977,32,USA,f,married,y,achievement
2169,24,USA,f,single,n,affection
2673,52,USA,f,married,y,affection
433,26,USA,m,single,n,exercise
13024,21,USA,f,single,n,achievement
604,26,USA,m,married,y,bonding
