wid,predicted_category
612,affection
2646,affection
2794,achievement
3797,achievement
9885,affection
6186,affection
491,achievement
1020,bonding
1625,achievement
1782,achievement
330,achievement
589,leisure
35,bonding
524,affection
477,enjoy_the_moment
37,bonding
215,affection
2416,achievement
8589,affection
237,bonding
69,achievement
648,achievement
1833,affection
1430,achievement
15,affection
1300,achievement
102,affection
449,affection
555,achievement
2628,enjoy_the_moment
1028,affection
76,achievement
689,bonding
5046,affection
5116,affection
1199,achievement
1517,achievement
251,enjoy_the_moment
681,affection
3704,bonding
738,enjoy_the_moment
9896,enjoy_the_moment
932,affection
8662,affection
3147,achievement
1094,leisure
4148,bonding
1057,leisure
11573,affection
13,nature
2349,affection
24,affection
72,achievement
2029,achievement
120,affection
266,affection
3009,affection
479,leisure
905,enjoy_the_moment
2032,achievement
820,achievement
341,enjoy_the_moment
455,nature
435,affection
1719,achievement
6667,achievement
4714,achievement
3895,affection
3930,enjoy_the_moment
600,affection
3433,enjoy_the_moment
2894,bonding
1764,bonding
376,enjoy_the_moment
213,achievement
5925,achievement
1827,leisure
1189,affection
4706,bonding
12580,achievement
229,achievement
496,enjoy_the_moment
802,affection
1983,bonding
924,bonding
4002,affection
146,achievement
220,bonding
38,affection
503,leisure
51,achievement
1063,bonding
6724,leisure
2356,achievement
12002,affection
3678,nature
1836,affection
786,leisure
81,achievement
699,bonding
5,affection
947,nature
62,affection
9386,enjoy_the_moment
18,bonding
60,leisure
50,affection
179,nature
11620,leisure
1773,affection
728,nature
1115,leisure
3400,enjoy_the_moment
158,achievement
86,affection
5050,affection
1,affection
12107,achievement
26,nature
2333,achievement
1232,achievement
570,affection
746,enjoy_the_moment
4545,leisure
1844,enjoy_the_moment
847,achievement
2394,achievement
8938,bonding
2030,affection
103,affection
2464,achievement
1672,achievement
7542,affection
768,affection
1045,achievement
634,bonding
1647,affection
16,affection
2836,enjoy_the_moment
3505,exercise
1156,affection
4203,enjoy_the_moment
11423,achievement
830,bonding
9291,affection
1683,achievement
5304,enjoy_the_moment
2202,affection
197,affection
1965,enjoy_the_moment
1135,bonding
3212,affection
44,enjoy_the_moment
402,bonding
9964,achievement
9264,bonding
1052,enjoy_the_moment
5232,affection
3965,bonding
2692,enjoy_the_moment
1397,achievement
121,bonding
4796,achievement
1729,achievement
551,achievement
10459,leisure
598,leisure
361,bonding
1821,achievement
2563,affection
4155,leisure
3315,exercise
4325,enjoy_the_moment
98,affection
13735,enjoy_the_moment
1659,achievement
9,affection
702,affection
4456,affection
3236,affection
2352,affection
2336,affection
563,nature
10468,affection
4267,affection
13634,achievement
8832,affection
2105,affection
2543,affection
4403,achievement
593,achievement
4880,affection
3851,enjoy_the_moment
836,achievement
2125,bonding
7967,enjoy_the_moment
10141,bonding
4073,achievement
12715,achievement
1988,achievement
6944,affection
391,enjoy_the_moment
13097,achievement
8456,achievement
4509,affection
5710,bonding
325,achievement
639,bonding
1922,exercise
1297,achievement
2669,nature
398,exercise
1061,affection
545,exercise
2324,nature
1838,achievement
1180,achievement
10965,achievement
1017,leisure
1361,affection
6739,leisure
1144,nature
1219,achievement
417,affection
9593,enjoy_the_moment
47,exercise
6334,bonding
1092,enjoy_the_moment
2152,affection
1812,achievement
1273,achievement
6836,achievement
10357,exercise
452,achievement
2035,achievement
865,affection
143,enjoy_the_moment
4955,achievement
1675,enjoy_the_moment
2784,achievement
210,bonding
5001,achievement
129,achievement
4985,achievement
2072,affection
1003,achievement
3051,affection
1544,bonding
3988,enjoy_the_moment
1684,achievement
6351,achievement
11574,nature
124,exercise
11424,exercise
4947,affection
1236,bonding
2432,achievement
233,achievement
2159,enjoy_the_moment
2987,affection
4786,bonding
3451,affection
8606,enjoy_the_moment
3084,enjoy_the_moment
815,bonding
262,affection
11,enjoy_the_moment
1692,enjoy_the_moment
1910,exercise
392,affection
12850,achievement
55,achievement
1213,affection
12955,achievement
1814,leisure
4595,bonding
2088,affection
1381,affection
8028,affection
2366,exercise
4537,affection
1203,achievement
693,affection
11010,achievement
2453,bonding
1359,enjoy_the_moment
126,affection
2752,achievement
63,achievement
823,affection
357,affection
4254,achievement
9814,affection
5439,leisure
28,leisure
1991,bonding
3221,affection
140,leisure
2258,leisure
8412,bonding
1574,achievement
1880,affection
986,achievement
987,achievement
314,enjoy_the_moment
395,achievement
11212,achievement
519,achievement
2481,affection
525,affection
423,enjoy_the_moment
7698,leisure
22,achievement
234,achievement
1474,affection
4101,achievement
697,affection
1304,affection
5695,affection
3324,affection
4266,affection
950,achievement
301,affection
1004,achievement
1260,affection
1629,affection
1152,achievement
1473,achievement
13496,leisure
2209,affection
1489,achievement
453,enjoy_the_moment
1071,affection
302,achievement
298,affection
11191,affection
1000,achievement
514,achievement
638,achievement
9360,affection
620,achievement
2797,nature
2888,affection
2203,achievement
4730,affection
2580,achievement
250,affection
1866,achievement
2079,leisure
618,enjoy_the_moment
659,bonding
1,achievement
380,achievement
880,bonding
93,achievement
1556,affection
624,achievement
1853,enjoy_the_moment
549,affection
577,affection
3977,achievement
2169,affection
2673,affection
433,exercise
13024,achievement
604,bonding
94,achievement
668,nature
12626,affection
451,achievement
334,affection
3254,bonding
12166,affection
894,affection
100,affection
10837,nature
13464,affection
7329,achievement
2278,leisure
2413,achievement
41,affection
1302,bonding
663,bonding
117,bonding
7049,affection
714,leisure
621,achievement
2965,achievement
8182,affection
34,bonding
9417,affection
5246,enjoy_the_moment
8420,achievement
4365,affection
4462,achievement
2343,affection
2222,enjoy_the_moment
972,achievement
1270,nature
1310,affection
408,affection
4970,affection
853,achievement
616,exercise
1708,bonding
501,affection
568,achievement
2305,affection
5132,achievement
2027,leisure
13317,achievement
90,enjoy_the_moment
1306,affection
2321,achievement
1634,achievement
80,achievement
2143,enjoy_the_moment
64,bonding
608,achievement
1054,bonding
6103,affection
2041,achievement
404,achievement
4508,achievement
567,achievement
225,enjoy_the_moment
871,achievement
2186,achievement
3295,exercise
1818,achievement
727,affection
370,leisure
4374,affection
579,achievement
806,achievement
585,achievement
810,exercise
1723,affection
162,achievement
4007,bonding
460,achievement
1765,affection
505,achievement
91,affection
11310,affection
13486,affection
1494,enjoy_the_moment
2045,affection
295,achievement
1541,exercise
2910,achievement
1932,bonding
1404,achievement
5096,affection
2544,affection
1165,affection
7133,achievement
9730,achievement
1997,affection
2440,affection
359,achievement
2883,affection
2195,affection
30,achievement
1192,enjoy_the_moment
1051,achievement
678,leisure
10370,affection
703,bonding
2705,affection
11260,nature
755,affection
202,achievement
2846,achievement
181,bonding
2206,leisure
578,bonding
200,achievement
127,achievement
58,affection
834,achievement
1027,affection
521,achievement
10655,achievement
128,leisure
1249,affection
2174,achievement
86,achievement
2140,enjoy_the_moment
186,nature
7443,enjoy_the_moment
2303,achievement
3549,affection
473,bonding
10616,achievement
3795,affection
46,achievement
171,exercise
2239,affection
154,enjoy_the_moment
2845,affection
1678,bonding
1658,exercise
1468,achievement
369,leisure
12928,affection
4535,affection
8426,bonding
3479,achievement
1715,affection
293,achievement
11263,affection
2748,achievement
1995,achievement
1536,affection
3697,enjoy_the_moment
6119,affection
1496,achievement
467,leisure
13729,leisure
916,achievement
1114,achievement
2263,achievement
1703,achievement
2760,bonding
405,enjoy_the_moment
1343,enjoy_the_moment
863,achievement
846,affection
540,affection
1204,enjoy_the_moment
1483,bonding
2792,enjoy_the_moment
2817,achievement
2601,affection
2404,enjoy_the_moment
185,achievement
3701,bonding
596,affection
10768,affection
445,enjoy_the_moment
2315,enjoy_the_moment
3736,affection
137,exercise
2919,affection
108,affection
12264,achievement
5044,affection
1699,affection
267,leisure
2497,affection
4146,affection
148,achievement
1620,achievement
5334,affection
909,enjoy_the_moment
7,achievement
1598,affection
7274,enjoy_the_moment
5823,bonding
332,nature
526,affection
6674,achievement
10133,bonding
1772,leisure
174,leisure
1747,achievement
354,enjoy_the_moment
1482,affection
2553,enjoy_the_moment
1237,achievement
3854,affection
66,achievement
513,affection
5872,affection
2091,achievement
2716,affection
3813,leisure
146,achievement
518,achievement
5316,bonding
49,achievement
2703,achievement
372,achievement
208,achievement
511,achievement
1082,exercise
240,enjoy_the_moment
661,achievement
2660,exercise
561,exercise
2104,achievement
2719,affection
581,exercise
422,exercise
1521,affection
4884,exercise
9851,affection
1282,achievement
4762,nature
440,bonding
646,leisure
13126,achievement
5205,leisure
390,nature
695,achievement
1053,exercise
12066,achievement
7820,enjoy_the_moment
619,affection
1635,enjoy_the_moment
1233,bonding
230,achievement
657,exercise
512,bonding
4144,affection
168,achievement
908,achievement
2411,achievement
5459,achievement
589,enjoy_the_moment
212,affection
150,achievement
557,achievement
4946,affection
48,enjoy_the_moment
371,achievement
11349,achievement
1849,affection
3456,affection
4139,affection
73,bonding
2656,affection
1685,bonding
1787,affection
634,leisure
1647,achievement
16,affection
2836,affection
3505,affection
1156,affection
4203,achievement
11423,enjoy_the_moment
830,achievement
9291,bonding
1683,leisure
5304,bonding
2202,affection
197,achievement
1965,enjoy_the_moment
1135,achievement
3212,bonding
44,leisure
402,achievement
9964,exercise
9264,affection
1052,affection
5232,enjoy_the_moment
3965,nature
1397,achievement
121,bonding
4796,bonding
1729,exercise
551,achievement
10459,leisure
598,achievement
361,enjoy_the_moment
1821,bonding
2563,achievement
4155,achievement
3315,enjoy_the_moment
4325,bonding
98,enjoy_the_moment
13735,enjoy_the_moment
1659,affection
9,achievement
702,achievement
4456,enjoy_the_moment
3236,achievement
2352,leisure
2336,bonding
563,leisure
10468,affection
4267,bonding
13634,leisure
8832,achievement
2105,affection
2543,achievement
4403,achievement
593,affection
4880,affection
3851,leisure
836,achievement
2125,enjoy_the_moment
7967,affection
10141,bonding
4073,leisure
12715,nature
1988,affection
6944,affection
391,achievement
13097,leisure
8456,achievement
4509,affection
5710,achievement
325,leisure
639,achievement
1922,achievement
1297,affection
2669,affection
398,affection
1061,affection
545,exercise
2324,enjoy_the_moment
1838,achievement
1180,leisure
10965,affection
1017,bonding
1361,enjoy_the_moment
6739,achievement
1144,enjoy_the_moment
1219,leisure
417,enjoy_the_moment
9593,achievement
47,bonding
6334,enjoy_the_moment
1092,leisure
2152,affection
1812,achievement
1273,affection
6836,bonding
10357,exercise
452,exercise
2035,affection
865,affection
143,affection
4955,achievement
1675,bonding
2784,affection
210,nature
5001,achievement
129,enjoy_the_moment
4985,affection
2072,affection
1003,achievement
3051,achievement
1544,bonding
3988,leisure
1684,affection
6351,achievement
11574,achievement
124,enjoy_the_moment
11424,achievement
4947,affection
1236,leisure
2432,affection
233,enjoy_the_moment
2159,bonding
2987,affection
4786,achievement
3451,affection
8606,affection
3084,enjoy_the_moment
815,achievement
262,leisure
11,achievement
1692,affection
1910,achievement
392,affection
12850,achievement
55,achievement
1213,affection
12955,affection
1814,leisure
4595,achievement
2088,achievement
1381,affection
8028,nature
2366,enjoy_the_moment
4537,leisure
1203,achievement
693,leisure
11010,nature
2453,bonding
1359,bonding
126,enjoy_the_moment
2752,achievement
63,achievement
823,enjoy_the_moment
357,affection
4254,achievement
9814,achievement
5439,affection
28,achievement
1991,leisure
3221,achievement
140,exercise
2258,enjoy_the_moment
8412,achievement
1574,achievement
1880,affection
986,leisure
987,achievement
314,enjoy_the_moment
395,achievement
11212,affection
519,exercise
2481,enjoy_the_moment
525,achievement
423,achievement
7698,achievement
22,leisure
234,enjoy_the_moment
1474,achievement
4101,achievement
697,leisure
1304,achievement
5695,affection
3324,leisure
4266,leisure
950,bonding
301,affection
1004,enjoy_the_moment
1260,affection
1629,affection
1152,affection
1473,affection
13496,affection
2209,bonding
1489,bonding
453,affection
1071,enjoy_the_moment
302,achievement
298,achievement
11191,affection
1000,nature
514,enjoy_the_moment
638,leisure
9360,nature
620,affection
2797,enjoy_the_moment
2888,affection
2203,leisure
4730,enjoy_the_moment
2580,affection
250,achievement
1866,affection
2079,enjoy_the_moment
618,affection
659,affection
1,affection
380,achievement
880,achievement
93,affection
1556,affection
624,affection
1853,enjoy_the_moment
549,achievement
577,achievement
3977,affection
2169,leisure
2673,achievement
433,achievement
13024,exercise
604,achievement
94,leisure
668,exercise
12626,bonding
451,achievement
334,nature
3254,achievement
12166,leisure
894,affection
100,leisure
10837,affection
13464,exercise
7329,achievement
2278,enjoy_the_moment
2413,affection
41,nature
1302,affection
663,affection
117,affection
7049,achievement
714,enjoy_the_moment
2965,enjoy_the_moment
8182,achievement
34,bonding
9417,achievement
5246,affection
8420,enjoy_the_moment
4365,enjoy_the_moment
4462,affection
2343,affection
2222,enjoy_the_moment
972,affection
1270,leisure
1310,achievement
408,bonding
4970,nature
853,enjoy_the_moment
616,achievement
1708,affection
501,affection
568,achievement
2305,leisure
5132,nature
2027,affection
13317,affection
90,affection
1306,exercise
2321,enjoy_the_moment
1634,enjoy_the_moment
80,bonding
2143,leisure
64,affection
608,achievement
1054,affection
6103,achievement
2041,achievement
404,achievement
4508,affection
567,enjoy_the_moment
225,leisure
871,affection
2186,affection
3295,achievement
1818,affection
727,affection
370,enjoy_the_moment
4374,achievement
579,achievement
806,achievement
585,enjoy_the_moment
810,achievement
1723,achievement
162,achievement
4007,leisure
460,affection
1765,bonding
505,achievement
91,affection
11310,leisure
13486,affection
1494,affection
2045,enjoy_the_moment
295,achievement
1541,achievement
2910,exercise
1932,enjoy_the_moment
1404,leisure
5096,affection
2544,leisure
1165,nature
7133,affection
9730,bonding
1997,achievement
2440,achievement
359,affection
2883,affection
2195,enjoy_the_moment
30,affection
1192,achievement
1051,enjoy_the_moment
678,leisure
10370,achievement
703,bonding
2705,affection
11260,achievement
755,enjoy_the_moment
202,affection
2846,achievement
181,affection
2206,affection
578,achievement
200,achievement
127,affection
58,enjoy_the_moment
834,achievement
1027,achievement
521,affection
10655,achievement
128,achievement
1249,affection
2174,affection
86,bonding
2140,enjoy_the_moment
186,achievement
7443,enjoy_the_moment
2303,achievement
3549,affection
473,exercise
10616,achievement
3795,affection
46,achievement
171,achievement
2239,achievement
154,enjoy_the_moment
2845,achievement
1678,enjoy_the_moment
1658,achievement
1468,affection
369,achievement
12928,achievement
4535,affection
8426,achievement
3479,achievement
1715,enjoy_the_moment
293,enjoy_the_moment
11263,nature
2748,affection
1995,achievement
1536,achievement
3697,affection
6119,affection
1496,affection
467,achievement
13729,achievement
916,enjoy_the_moment
1114,enjoy_the_moment
2263,achievement
1703,achievement
2760,affection
405,bonding
1343,enjoy_the_moment
863,affection
846,affection
540,bonding
1204,leisure
1483,bonding
2792,nature
2817,bonding
2601,achievement
2404,leisure
185,affection
3701,affection
596,affection
10768,achievement
445,enjoy_the_moment
2315,enjoy_the_moment
3736,exercise
137,achievement
2919,affection
108,affection
12264,achievement
5044,achievement
1699,affection
267,exercise
2497,achievement
4146,achievement
148,achievement
1620,enjoy_the_moment
5334,bonding
909,achievement
7,affection
1598,affection
7274,achievement
5823,bonding
332,exercise
526,achievement
6674,enjoy_the_moment
10133,enjoy_the_moment
1772,affection
174,affection
1747,achievement
354,affection
1482,achievement
2553,affection
1237,affection
3854,affection
66,achievement
513,achievement
5872,achievement
2091,exercise
2716,bonding
3813,achievement
146,affection
518,achievement
5316,bonding
49,achievement
2703,affection
372,achievement
208,achievement
511,affection
1082,achievement
240,nature
661,achievement
2660,achievement
561,affection
2104,nature
2719,affection
581,leisure
422,leisure
1521,leisure
4884,achievement
9851,affection
1282,leisure
4762,achievement
440,achievement
646,affection
13126,achievement
5205,bonding
390,affection
695,affection
1053,affection
12066,affection
7820,affection
619,enjoy_the_moment
1635,affection
1233,affection
230,achievement
657,achievement
512,enjoy_the_moment
4144,achievement
168,enjoy_the_moment
908,enjoy_the_moment
2411,achievement
5459,leisure
589,enjoy_the_moment
212,affection
150,enjoy_the_moment
557,achievement
4946,enjoy_the_moment
48,achievement
371,achievement
11349,achievement
1849,achievement
3456,leisure
4139,achievement
73,achievement
2656,enjoy_the_moment
1685,achievement
1787,affection
634,leisure
1647,achievement
16,bonding
2836,achievement
3505,affection
1156,nature
4203,enjoy_the_moment
11423,bonding
830,enjoy_the_moment
9291,affection
1683,achievement
5304,affection
2202,affection
197,enjoy_the_moment
1965,bonding
1135,enjoy_the_moment
3212,enjoy_the_moment
44,leisure
402,achievement
9964,affection
9264,affection
1052,enjoy_the_moment
5232,nature
3965,bonding
1397,bonding
121,affection
4796,achievement
1729,achievement
551,achievement
10459,exercise
598,achievement
361,achievement
1821,achievement
2563,bonding
4155,achievement
3315,achievement
4325,leisure
98,enjoy_the_moment
13735,achievement
1659,achievement
9,leisure
702,bonding
4456,achievement
3236,affection
2352,enjoy_the_moment
2336,achievement
563,achievement
10468,enjoy_the_moment
4267,exercise
13634,affection
8832,affection
2105,achievement
2543,affection
4403,achievement
593,achievement
4880,achievement
3851,leisure
836,affection
2125,affection
7967,achievement
10141,achievement
4073,achievement
12715,achievement
1988,affection
6944,affection
391,leisure
13097,exercise
4509,enjoy_the_moment
5710,achievement
325,enjoy_the_moment
639,bonding
1922,affection
1297,achievement
2669,enjoy_the_moment
398,bonding
1061,affection
545,affection
2324,affection
1838,achievement
1180,affection
10965,achievement
1017,achievement
1361,enjoy_the_moment
6739,nature
1144,leisure
1219,affection
417,achievement
9593,nature
47,achievement
6334,achievement
1092,achievement
2152,affection
1812,enjoy_the_moment
1273,affection
6836,leisure
10357,achievement
452,affection
2035,achievement
143,affection
4955,enjoy_the_moment
1675,achievement
2784,achievement
210,bonding
5001,bonding
129,exercise
4985,achievement
2072,achievement
1003,nature
3051,affection
1544,affection
3988,enjoy_the_moment
1684,leisure
6351,achievement
11574,affection
124,leisure
11424,achievement
4947,affection
1236,affection
2432,leisure
233,leisure
2159,enjoy_the_moment
2987,affection
4786,leisure
3451,achievement
8606,affection
3084,enjoy_the_moment
815,bonding
262,nature
11,enjoy_the_moment
1692,exercise
1910,enjoy_the_moment
392,affection
12850,affection
55,achievement
1213,affection
12955,affection
1814,achievement
4595,affection
2088,achievement
1381,affection
8028,affection
2366,affection
4537,affection
1203,leisure
693,affection
11010,achievement
2453,achievement
1359,leisure
126,bonding
2752,achievement
63,achievement
823,leisure
357,affection
4254,achievement
9814,achievement
5439,affection
28,achievement
1991,affection
3221,enjoy_the_moment
140,affection
2258,leisure
8412,achievement
1574,affection
1880,affection
986,achievement
987,enjoy_the_moment
314,achievement
395,achievement
11212,achievement
519,leisure
2481,leisure
525,affection
423,nature
7698,affection
22,enjoy_the_moment
234,achievement
1474,achievement
4101,bonding
697,affection
1304,nature
5695,affection
3324,leisure
4266,enjoy_the_moment
950,achievement
301,affection
1004,affection
1260,nature
1629,nature
1152,achievement
1473,affection
13496,enjoy_the_moment
2209,leisure
1489,nature
453,leisure
1071,leisure
302,enjoy_the_moment
298,exercise
11191,affection
1000,affection
514,achievement
638,achievement
9360,affection
620,bonding
2797,exercise
2888,leisure
2203,affection
4730,bonding
2580,affection
250,affection
1866,achievement
2079,achievement
618,enjoy_the_moment
659,exercise
1,affection
380,achievement
880,achievement
93,affection
1556,nature
624,achievement
1853,bonding
549,affection
577,achievement
3977,enjoy_the_moment
2169,achievement
2673,achievement
433,enjoy_the_moment
13024,enjoy_the_moment
604,bonding
94,achievement
668,achievement
12626,affection
451,achievement
334,affection
3254,enjoy_the_moment
12166,nature
894,affection
100,nature
10837,nature
13464,affection
7329,achievement
2278,leisure
2413,enjoy_the_moment
41,affection
1302,affection
663,nature
117,achievement
7049,affection
714,achievement
2965,enjoy_the_moment
8182,achievement
34,affection
9417,enjoy_the_moment
5246,affection
8420,leisure
4365,achievement
4462,bonding
2343,achievement
2222,bonding
972,achievement
1270,enjoy_the_moment
1310,achievement
408,enjoy_the_moment
4970,nature
853,enjoy_the_moment
616,bonding
1708,affection
501,affection
568,exercise
2305,achievement
5132,achievement
2027,affection
13317,achievement
90,leisure
1306,achievement
2321,achievement
1634,bonding
80,achievement
2143,leisure
64,bonding
608,achievement
1054,affection
6103,achievement
2041,leisure
404,bonding
4508,affection
567,achievement
225,affection
871,leisure
2186,enjoy_the_moment
3295,bonding
1818,achievement
727,achievement
370,leisure
4374,leisure
579,bonding
806,affection
585,achievement
810,achievement
1723,affection
162,achievement
4007,achievement
460,achievement
1765,enjoy_the_moment
505,bonding
91,achievement
11310,achievement
13486,affection
1494,affection
2045,leisure
295,achievement
1541,achievement
2910,bonding
1932,achievement
1404,achievement
5096,achievement
2544,achievement
1165,affection
7133,enjoy_the_moment
9730,enjoy_the_moment
1997,achievement
2440,leisure
359,achievement
2883,affection
2195,affection
30,affection
1192,enjoy_the_moment
1051,achievement
678,leisure
10370,enjoy_the_moment
703,bonding
2705,affection
11260,bonding
755,enjoy_the_moment
202,leisure
2846,achievement
181,achievement
2206,affection
578,affection
200,achievement
127,affection
58,enjoy_the_moment
834,affection
1027,affection
521,affection
10655,affection
128,affection
1249,enjoy_the_moment
2174,achievement
86,leisure
2140,achievement
186,affection
7443,affection
2303,enjoy_the_moment
3549,affection
473,achievement
10616,achievement
3795,affection
46,achievement
171,affection
2239,achievement
154,affection
2845,achievement
1678,enjoy_the_moment
1658,achievement
1468,affection
369,enjoy_the_moment
12928,achievement
4535,bonding
8426,affection
3479,achievement
1715,affection
293,affection
11263,achievement
2748,enjoy_the_moment
1995,achievement
1536,enjoy_the_moment
3697,affection
6119,achievement
1496,enjoy_the_moment
467,achievement
13729,affection
916,achievement
1114,enjoy_the_moment
2263,achievement
1703,achievement
2760,affection
405,achievement
1343,achievement
863,enjoy_the_moment
846,enjoy_the_moment
540,affection
1204,achievement
1483,enjoy_the_moment
2792,achievement
2817,bonding
2601,affection
2404,achievement
185,exercise
3701,bonding
596,affection
10768,leisure
445,achievement
2315,leisure
3736,bonding
137,enjoy_the_moment
2919,achievement
108,achievement
