wid,age,country,gender,marital,parenthood,predicted_category
1460,29,USA,f,married,y,achievement
4161,21,USA,m,single,n,achievement
4161,21,USA,m,single,n,affection
4161,21,USA,m,single,n,enjoy_the_moment
2387,27,USA,m,single,n,affection
3226,37,USA,f,single,n,affection
2387,27,USA,m,single,n,achievement
3226,37,USA,f,single,n,achievement
2387,27,USA,m,single,n,bonding
3226,37,USA,f,single,n,affection
6773,32,USA,f,married,n,achievement
6773,32,USA,f,married,n,achievement
6773,32,USA,f,married,n,affection
3226,37,USA,f,single,n,affection
3226,37,USA,f,single,n,achievement
3226,37,USA,f,single,n,bonding
2563,43,USA,f,single,y,achievement
2563,43,USA,f,single,y,affection
2563,43,USA,f,single,y,achievement
10703,62,USA,f,single,n,enjoy_the_moment
10703,62,USA,f,single,n,exercise
10703,62,USA,f,single,n,bonding
12471,20,USA,o,single,n,achievement
4929,46,USA,f,married,n,achievement
4161,21,USA,m,single,n,enjoy_the_moment
12471,20,USA,o,single,n,bonding
4929,46,USA,f,married,n,affection
4161,21,USA,m,single,n,enjoy_the_moment
12471,20,USA,o,single,n,achievement
4929,46,USA,f,married,n,affection
4161,21,USA,m,single,n,leisure
10230,19,USA,m,single,n,achievement
10230,19,USA,m,single,n,achievement
10230,19,USA,m,single,n,achievement
7168,36,USA,m,married,n,achievement
1460,29,USA,f,married,y,affection
3179,31,USA,m,married,n,achievement
7168,36,USA,m,married,n,achievement
1460,29,USA,f,married,y,achievement
3179,31,USA,m,married,n,achievement
7168,36,USA,m,married,n,affection
1460,29,USA,f,married,y,achievement
3179,31,USA,m,married,n,achievement
2776,26,USA,f,single,n,affection
3704,22,VEN,f,single,n,achievement
2776,26,USA,f,single,n,affection
3704,22,VEN,f,single,n,achievement
2776,26,USA,f,single,n,affection
3704,22,VEN,f,single,n,bonding
12393,32,USA,f,single,n,bonding
6559,29,USA,f,single,n,achievement
12393,32,USA,f,single,n,affection
6559,29,USA,f,single,n,achievement
12393,32,USA,f,single,n,achievement
6559,29,USA,f,single,n,bonding
5117,26,USA,f,married,n,affection
7281,31,IND,f,married,y,affection
5117,26,USA,f,married,n,affection
7281,31,IND,f,married,y,affection
5117,26,USA,f,married,n,achievement
7281,31,IND,f,married,y,achievement
2996,52,USA,m,married,y,affection
2996,52,USA,m,married,y,achievement
2996,52,USA,m,married,y,affection
10798,26,IND,f,married,n,enjoy_the_moment
10798,26,IND,f,married,n,affection
10798,26,IND,f,married,n,affection
4489,24,USA,m,single,n,affection
5173,20,USA,m,single,n,bonding
7850,34,USA,m,single,n,enjoy_the_moment
4489,24,USA,m,single,n,achievement
5173,20,USA,m,single,n,achievement
7850,34,USA,m,single,n,affection
4489,24,USA,m,single,n,enjoy_the_moment
5173,20,USA,m,single,n,achievement
7850,34,USA,m,single,n,achievement
5117,26,USA,f,married,n,affection
5117,26,USA,f,married,n,affection
5117,26,USA,f,married,n,leisure
3488,24,USA,m,single,n,affection
3488,24,USA,m,single,n,achievement
3488,24,USA,m,single,n,affection
5287,28,USA,m,single,n,achievement
13207,38,USA,f,divorced,y,achievement
3352,40,USA,f,married,y,affection
6266,21,USA,m,single,n,achievement
1322,38,IND,f,married,y,affection
3000,37,USA,m,single,n,affection
5984,40,USA,f,married,y,enjoy_the_moment
13601,27,USA,f,separated,n,leisure
8257,25,USA,f,single,n,nature
8407,54,USA,f,married,y,bonding
2776,26,USA,f,single,n,affection
9558,29,USA,m,married,n,bonding
13060,25,USA,m,married,y,achievement
13648,28,USA,f,single,n,affection
5287,28,USA,m,single,n,achievement
13207,38,USA,f,divorced,y,bonding
3352,40,USA,f,married,y,affection
6266,21,USA,m,single,n,bonding
1322,38,IND,f,married,y,bonding
3000,37,USA,m,single,n,affection
5984,40,USA,f,married,y,affection
13601,27,USA,f,separated,n,exercise
8257,25,USA,f,single,n,achievement
8407,54,USA,f,married,y,affection
2776,26,USA,f,single,n,achievement
9558,29,USA,m,married,n,achievement
13060,25,USA,m,married,y,achievement
13648,28,USA,f,single,n,achievement
5287,28,USA,m,single,n,affection
13207,38,USA,f,divorced,y,bonding
3352,40,USA,f,married,y,affection
6266,21,USA,m,single,n,bonding
1322,38,IND,f,married,y,affection
3000,37,USA,m,single,n,leisure
5984,40,USA,f,married,y,affection
13601,27,USA,f,separated,n,achievement
8257,25,USA,f,single,n,affection
8407,54,USA,f,married,y,achievement
2776,26,USA,f,single,n,affection
9558,29,USA,m,married,n,affection
13060,25,USA,m,married,y,affection
13648,28,USA,f,single,n,bonding
2821,54,USA,f,married,y,affection
6482,28,USA,f,single,n,affection
7387,42,IND,f,married,y,affection
11393,48,USA,f,married,n,enjoy_the_moment
2821,54,USA,f,married,y,achievement
6482,28,USA,f,single,n,bonding
7387,42,IND,f,married,y,affection
11393,48,USA,f,married,n,affection
2821,54,USA,f,married,y,achievement
6482,28,USA,f,single,n,affection
7387,42,IND,f,married,y,enjoy_the_moment
11393,48,USA,f,married,n,achievement
5071,48,USA,f,single,y,affection
2572,27,USA,f,single,n,achievement
13009,36,USA,f,married,y,affection
6825,26,USA,m,single,n,achievement
3000,37,USA,m,single,n,achievement
5071,48,USA,f,single,y,bonding
2572,27,USA,f,single,n,leisure
13009,36,USA,f,married,y,affection
6825,26,USA,m,single,n,affection
3000,37,USA,m,single,n,achievement
5071,48,USA,f,single,y,achievement
2572,27,USA,f,single,n,achievement
13009,36,USA,f,married,y,affection
6825,26,USA,m,single,n,achievement
3000,37,USA,m,single,n,nature
2711,36,ARE,f,separated,n,affection
2711,36,ARE,f,separated,n,achievement
2711,36,ARE,f,separated,n,achievement
10862,23,USA,m,single,n,achievement
10862,23,USA,m,single,n,achievement
10862,23,USA,m,single,n,affection
9162,24,USA,f,single,n,affection
4391,29,IND,m,married,n,enjoy_the_moment
9162,24,USA,f,single,n,bonding
4391,29,IND,m,married,n,achievement
9162,24,USA,f,single,n,affection
4391,29,IND,m,married,n,enjoy_the_moment
8222,23,USA,f,single,n,affection
2572,27,USA,f,single,n,achievement
8222,23,USA,f,single,n,enjoy_the_moment
2572,27,USA,f,single,n,affection
8222,23,USA,f,single,n,achievement
2572,27,USA,f,single,n,achievement
2572,27,USA,f,single,n,achievement
2572,27,USA,f,single,n,achievement
2572,27,USA,f,single,n,bonding
4391,29,IND,m,married,n,enjoy_the_moment
4391,29,IND,m,married,n,enjoy_the_moment
4391,29,IND,m,married,n,affection
1322,38,IND,f,married,y,affection
1322,38,IND,f,married,y,affection
1322,38,IND,f,married,y,affection
5071,48,USA,f,single,y,achievement
9517,34,USA,m,married,y,achievement
2821,54,USA,f,married,y,affection
5071,48,USA,f,single,y,affection
9517,34,USA,m,married,y,affection
2821,54,USA,f,married,y,affection
5071,48,USA,f,single,y,enjoy_the_moment
9517,34,USA,m,married,y,enjoy_the_moment
2821,54,USA,f,married,y,affection
2996,52,USA,m,married,y,affection
2996,52,USA,m,married,y,affection
2996,52,USA,m,married,y,bonding
11639,29,USA,f,married,y,affection
3213,47,USA,m,married,y,affection
2821,54,USA,f,married,y,affection
11639,29,USA,f,married,y,achievement
3213,47,USA,m,married,y,bonding
2821,54,USA,f,married,y,affection
11639,29,USA,f,married,y,achievement
3213,47,USA,m,married,y,enjoy_the_moment
2821,54,USA,f,married,y,enjoy_the_moment
1322,38,IND,f,married,y,affection
12139,22,USA,f,single,n,enjoy_the_moment
1322,38,IND,f,married,y,bonding
12139,22,USA,f,single,n,affection
1322,38,IND,f,married,y,bonding
12139,22,USA,f,single,n,achievement
10468,30,USA,m,married,n,affection
2748,22,USA,m,single,n,achievement
10768,24,USA,f,single,n,affection
10468,30,USA,m,married,n,affection
2748,22,USA,m,single,n,affection
10768,24,USA,f,single,n,achievement
10468,30,USA,m,married,n,enjoy_the_moment
2748,22,USA,m,single,n,enjoy_the_moment
10768,24,USA,f,single,n,leisure
3876,48,USA,f,married,y,affection
2231,47,IND,m,married,y,achievement
13465,30,USA,m,married,n,affection
3876,48,USA,f,married,y,affection
2231,47,IND,m,married,y,affection
13465,30,USA,m,married,n,affection
3876,48,USA,f,married,y,affection
2231,47,IND,m,married,y,achievement
13465,30,USA,m,married,n,affection
3098,33,USA,f,single,y,leisure
3098,33,USA,f,single,y,bonding
3098,33,USA,f,single,y,achievement
9946,27,USA,m,single,n,enjoy_the_moment
4937,55,USA,f,divorced,y,affection
2231,47,IND,m,married,y,affection
8109,69,USA,m,married,y,affection
9946,27,USA,m,single,n,leisure
4937,55,USA,f,divorced,y,achievement
2231,47,IND,m,married,y,affection
8109,69,USA,m,married,y,affection
9946,27,USA,m,single,n,affection
4937,55,USA,f,divorced,y,achievement
2231,47,IND,m,married,y,affection
8109,69,USA,m,married,y,affection
9071,43,USA,f,married,y,nature
12292,25,IND,m,single,n,achievement
4684,26,IND,f,single,n,bonding
9071,43,USA,f,married,y,affection
12292,25,IND,m,single,n,achievement
4684,26,IND,f,single,n,affection
9071,43,USA,f,married,y,achievement
12292,25,IND,m,single,n,bonding
4684,26,IND,f,single,n,affection
2748,22,USA,m,single,n,enjoy_the_moment
2748,22,USA,m,single,n,nature
2748,22,USA,m,single,n,achievement
5223,63,CAN,m,married,y,achievement
5223,63,CAN,m,married,y,enjoy_the_moment
5223,63,CAN,m,married,y,affection
2025,20,UGA,f,single,n,achievement
2025,20,UGA,f,single,n,affection
2025,20,UGA,f,single,n,affection
11146,22,USA,m,married,n,affection
11146,22,USA,m,married,n,affection
11146,22,USA,m,married,n,achievement
7530,38,USA,f,married,y,achievement
3876,48,USA,f,married,y,affection
7530,38,USA,f,married,y,achievement
3876,48,USA,f,married,y,affection
7530,38,USA,f,married,y,leisure
3876,48,USA,f,married,y,achievement
7910,46,USA,f,married,y,enjoy_the_moment
2721,53,USA,m,married,y,affection
3089,39,USA,f,married,y,achievement
8650,20,USA,m,single,n,affection
3220,37,USA,f,married,y,affection
2923,69,USA,m,married,y,achievement
3490,28,IND,m,married,n,affection
4186,44,USA,f,married,y,bonding
4937,55,USA,f,divorced,y,affection
7910,46,USA,f,married,y,affection
2721,53,USA,m,married,y,affection
3089,39,USA,f,married,y,enjoy_the_moment
8650,20,USA,m,single,n,bonding
3220,37,USA,f,married,y,affection
2923,69,USA,m,married,y,affection
3490,28,IND,m,married,n,bonding
4186,44,USA,f,married,y,affection
4937,55,USA,f,divorced,y,nature
7910,46,USA,f,married,y,affection
2721,53,USA,m,married,y,affection
3089,39,USA,f,married,y,affection
8650,20,USA,m,single,n,enjoy_the_moment
3220,37,USA,f,married,y,affection
2923,69,USA,m,married,y,affection
3490,28,IND,m,married,n,achievement
4186,44,USA,f,married,y,enjoy_the_moment
4937,55,USA,f,divorced,y,affection
3220,37,USA,f,married,y,affection
11713,32,USA,m,married,y,affection
3220,37,USA,f,married,y,affection
11713,32,USA,m,married,y,achievement
3220,37,USA,f,married,y,affection
11713,32,USA,m,married,y,affection
6597,23,USA,m,single,y,achievement
5482,20,USA,f,single,n,bonding
6597,23,USA,m,single,y,achievement
5482,20,USA,f,single,n,achievement
6597,23,USA,m,single,y,achievement
5482,20,USA,f,single,n,achievement
3796,24,USA,m,married,n,leisure
3796,24,USA,m,married,n,enjoy_the_moment
3796,24,USA,m,married,n,achievement
2721,53,USA,m,married,y,affection
6598,19,USA,m,single,n,achievement
10745,34,IND,f,married,y,affection
2721,53,USA,m,married,y,affection
6598,19,USA,m,single,n,achievement
10745,34,IND,f,married,y,affection
2721,53,USA,m,married,y,bonding
6598,19,USA,m,single,n,achievement
10745,34,IND,f,married,y,affection
3796,24,USA,m,married,n,enjoy_the_moment
3796,24,USA,m,married,n,leisure
3796,24,USA,m,married,n,enjoy_the_moment
5074,31,USA,m,single,n,achievement
6361,29,USA,f,single,n,affection
5074,31,USA,m,single,n,achievement
6361,29,USA,f,single,n,enjoy_the_moment
5074,31,USA,m,single,n,enjoy_the_moment
6361,29,USA,f,single,n,achievement
5074,31,USA,m,single,n,achievement
5074,31,USA,m,single,n,achievement
5074,31,USA,m,single,n,achievement
9169,31,USA,f,single,n,affection
9169,31,USA,f,single,n,enjoy_the_moment
9169,31,USA,f,single,n,achievement
8779,26,USA,m,single,n,achievement
8779,26,USA,m,single,n,bonding
8779,26,USA,m,single,n,bonding
3220,37,USA,f,married,y,affection
3220,37,USA,f,married,y,leisure
3220,37,USA,f,married,y,affection
5695,33,USA,o,single,y,affection
2656,25,USA,m,single,n,affection
5695,33,USA,o,single,y,affection
2656,25,USA,m,single,n,enjoy_the_moment
5695,33,USA,o,single,y,affection
2656,25,USA,m,single,n,leisure
3834,64,USA,f,divorced,y,achievement
5907,24,USA,f,single,n,achievement
3834,64,USA,f,divorced,y,achievement
5907,24,USA,f,single,n,achievement
3834,64,USA,f,divorced,y,affection
5907,24,USA,f,single,n,enjoy_the_moment
5513,54,USA,f,married,y,affection
5513,54,USA,f,married,y,affection
5513,54,USA,f,married,y,affection
5157,27,IND,m,single,n,bonding
5157,27,IND,m,single,n,affection
5157,27,IND,m,single,n,achievement
10840,27,IND,m,single,n,bonding
3913,26,USA,m,single,n,enjoy_the_moment
10840,27,IND,m,single,n,achievement
3913,26,USA,m,single,n,enjoy_the_moment
10840,27,IND,m,single,n,leisure
3913,26,USA,m,single,n,affection
10815,27,USA,f,single,n,affection
8501,29,IND,f,married,y,affection
3377,34,USA,f,married,y,leisure
10815,27,USA,f,single,n,affection
8501,29,IND,f,married,y,bonding
3377,34,USA,f,married,y,affection
10815,27,USA,f,single,n,affection
8501,29,IND,f,married,y,affection
3377,34,USA,f,married,y,affection
10567,29,USA,m,married,y,achievement
10567,29,USA,m,married,y,achievement
10567,29,USA,m,married,y,achievement
10632,29,USA,f,single,n,affection
4294,38,USA,m,single,n,achievement
5217,36,USA,m,single,n,achievement
10632,29,USA,f,single,n,achievement
4294,38,USA,m,single,n,leisure
5217,36,USA,m,single,n,affection
10632,29,USA,f,single,n,achievement
4294,38,USA,m,single,n,bonding
5217,36,USA,m,single,n,achievement
10788,19,IND,m,single,n,affection
9403,37,USA,f,single,n,achievement
10788,19,IND,m,single,n,affection
9403,37,USA,f,single,n,achievement
10788,19,IND,m,single,n,achievement
9403,37,USA,f,single,n,achievement
10032,31,USA,f,single,n,achievement
4383,24,USA,f,single,n,affection
8577,19,USA,m,single,n,achievement
2656,25,USA,m,single,n,achievement
3566,19,IND,m,single,n,achievement
5740,31,TUR,m,single,n,affection
9647,19,USA,f,single,n,affection
9206,24,USA,m,single,n,achievement
10527,31,USA,f,married,n,affection
11928,37,USA,f,divorced,y,affection
10032,31,USA,f,single,n,achievement
4383,24,USA,f,single,n,achievement
8577,19,USA,m,single,n,enjoy_the_moment
2656,25,USA,m,single,n,achievement
3566,19,IND,m,single,n,achievement
5740,31,TUR,m,single,n,bonding
9647,19,USA,f,single,n,nature
9206,24,USA,m,single,n,achievement
10527,31,USA,f,married,n,achievement
11928,37,USA,f,divorced,y,affection
10032,31,USA,f,single,n,enjoy_the_moment
4383,24,USA,f,single,n,bonding
8577,19,USA,m,single,n,achievement
2656,25,USA,m,single,n,achievement
3566,19,IND,m,single,n,achievement
5740,31,TUR,m,single,n,achievement
9647,19,USA,f,single,n,achievement
9206,24,USA,m,single,n,achievement
10527,31,USA,f,married,n,achievement
11928,37,USA,f,divorced,y,enjoy_the_moment
7576,25,USA,m,single,n,achievement
2833,29,USA,m,married,n,affection
12249,25,USA,m,single,n,achievement
11520,19,USA,m,single,n,bonding
6154,60,USA,m,married,y,affection
3561,40,USA,m,divorced,y,affection
7576,25,USA,m,single,n,achievement
2833,29,USA,m,married,n,affection
12249,25,USA,m,single,n,affection
11520,19,USA,m,single,n,achievement
6154,60,USA,m,married,y,achievement
3561,40,USA,m,divorced,y,exercise
7576,25,USA,m,single,n,achievement
2833,29,USA,m,married,n,enjoy_the_moment
12249,25,USA,m,single,n,achievement
11520,19,USA,m,single,n,achievement
6154,60,USA,m,married,y,affection
3561,40,USA,m,divorced,y,affection
11482,37,USA,f,divorced,y,affection
11745,31,USA,m,single,n,achievement
13765,45,USA,m,married,y,affection
3377,34,USA,f,married,y,exercise
11482,37,USA,f,divorced,y,achievement
11745,31,USA,m,single,n,achievement
13765,45,USA,m,married,y,affection
3377,34,USA,f,married,y,leisure
11482,37,USA,f,divorced,y,achievement
11745,31,USA,m,single,n,bonding
13765,45,USA,m,married,y,affection
3377,34,USA,f,married,y,affection
10395,50,USA,m,divorced,y,achievement
9153,22,USA,m,single,n,affection
10395,50,USA,m,divorced,y,achievement
9153,22,USA,m,single,n,affection
10395,50,USA,m,divorced,y,achievement
9153,22,USA,m,single,n,bonding
13398,34,USA,m,single,n,affection
5217,36,USA,m,single,n,affection
13398,34,USA,m,single,n,leisure
5217,36,USA,m,single,n,affection
13398,34,USA,m,single,n,achievement
5217,36,USA,m,single,n,achievement
4307,46,USA,f,single,n,achievement
4957,26,GBR,m,single,n,enjoy_the_moment
13329,33,USA,f,single,y,affection
4307,46,USA,f,single,n,affection
4957,26,GBR,m,single,n,enjoy_the_moment
13329,33,USA,f,single,y,achievement
4307,46,USA,f,single,n,affection
4957,26,GBR,m,single,n,enjoy_the_moment
13329,33,USA,f,single,y,affection
6962,24,USA,f,single,n,affection
5578,22,USA,m,single,n,achievement
6962,24,USA,f,single,n,achievement
5578,22,USA,m,single,n,affection
6962,24,USA,f,single,n,affection
5578,22,USA,m,single,n,affection
4957,26,GBR,m,single,n,achievement
