wid,age,gender,marital,parenthood,predicted_category
119,47,m,married,y,achievement
120,25,m,single,n,achievement
122,32,m,single,n,achievement
123,29,m,single,n,achievement
124,28,m,single,n,achievement
126,34,m,married,y,achievement
127,21,m,single,n,achievement
128,25,f,single,n,achievement
129,25,m,single,n,achievement
130,33,f,married,y,achievement
131,32,m,single,n,achievement
132,30,f,married,y,achievement
133,40,m,single,n,achievement
134,37,f,single,n,achievement
135,23,m,single,n,achievement
136,30,m,married,y,achievement
138,30,m,married,y,achievement
139,30,m,married,y,achievement
140,33,m,married,n,achievement
141,35,m,single,n,achievement
142,55,m,married,y,achievement
143,29,m,married,y,achievement
144,25,m,single,n,achievement
145,29,f,single,n,achievement
146,25,m,single,n,achievement
147,31,m,single,n,achievement
148,40,f,married,y,achievement
149,45,m,married,y,achievement
151,28,m,single,n,achievement
152,30,m,married,y,achievement
153,55,f,married,y,achievement
154,32,f,married,n,achievement
155,28,f,married,n,achievement
156,47,f,married,n,achievement
157,33,m,married,n,achievement
158,30,m,single,n,achievement
159,29,m,single,n,achievement
160,37,m,married,y,achievement
161,53,f,married,y,achievement
162,23,m,single,n,achievement
163,30,m,single,n,achievement
164,27,m,married,n,achievement
165,30,m,married,y,achievement
166,54,f,single,n,achievement
167,34,m,single,n,achievement
168,28,m,single,n,achievement
169,29,f,single,n,achievement
171,31,m,married,n,achievement
172,27,m,married,n,achievement
173,55,f,married,y,affection
174,31,m,married,y,achievement
175,20,m,single,n,achievement
176,26,f,married,y,achievement
177,25,m,single,n,achievement
178,38,m,married,y,achievement
179,22,m,single,y,achievement
180,35,m,single,n,achievement
181,44,m,married,y,achievement
182,28,m,married,n,achievement
183,30,m,single,n,achievement
184,49,f,married,y,achievement
185,36,m,single,n,achievement
186,44,m,single,y,achievement
187,25,m,single,n,achievement
188,26,m,married,y,achievement
189,33,m,married,y,achievement
190,23,m,single,n,achievement
191,28,f,married,n,achievement
192,28,m,married,y,achievement
193,28,m,single,n,achievement
194,26,f,single,n,achievement
195,30,m,single,n,achievement
196,30,f,married,y,achievement
197,24,m,single,n,achievement
199,31,f,single,n,achievement
200,35,m,married,n,achievement
201,34,m,married,y,achievement
202,24,m,single,n,achievement
203,26,m,single,n,achievement
204,30,f,single,n,achievement
205,54,f,married,y,achievement
206,28,f,married,n,achievement
207,42,m,married,n,achievement
208,45,f,single,n,achievement
209,28,m,single,n,achievement
210,26,m,single,n,achievement
211,27,m,single,n,achievement
212,24,m,single,n,achievement
213,30,f,married,y,achievement
214,22,f,single,n,achievement
215,26,m,married,n,achievement
216,27,m,married,n,achievement
217,44,f,single,y,achievement
218,34,f,married,y,achievement
219,33,m,married,y,achievement
220,22,m,single,n,achievement
221,31,m,married,y,achievement
222,26,f,single,n,achievement
223,28,m,married,y,achievement
224,31,m,married,y,achievement
225,25,m,single,n,achievement
226,32,f,single,n,achievement
227,37,f,married,n,achievement
228,24,m,single,n,achievement
229,35,f,single,n,achievement
230,34,m,single,n,achievement
231,39,f,single,y,achievement
232,26,f,married,y,affection
233,26,m,single,n,achievement
234,25,m,single,n,achievement
235,27,m,single,n,achievement
236,24,f,single,n,achievement
237,27,m,married,n,achievement
238,33,m,married,y,achievement
239,34,m,married,y,achievement
240,30,m,single,n,achievement
241,24,f,single,y,achievement
242,34,f,married,n,achievement
243,26,m,single,n,achievement
244,31,f,married,y,achievement
245,33,f,married,y,achievement
247,21,m,single,n,achievement
248,30,m,married,n,achievement
249,26,f,married,y,achievement
250,43,f,married,y,achievement
251,22,m,single,n,achievement
253,32,m,single,n,achievement
254,29,m,single,n,achievement
255,24,m,single,n,achievement
256,25,m,married,n,achievement
257,27,f,single,n,achievement
258,36,m,single,n,achievement
259,30,m,single,n,achievement
260,32,m,married,y,achievement
261,25,f,married,y,affection
262,26,f,single,n,achievement
263,22,m,single,y,achievement
265,37,f,married,y,achievement
266,32,f,married,y,achievement
267,29,m,married,n,achievement
268,32,f,married,y,achievement
269,28,m,single,n,achievement
270,23,m,married,n,achievement
271,36,m,married,y,achievement
272,28,f,single,y,achievement
274,32,f,single,n,achievement
275,38,m,single,n,achievement
277,31,m,single,n,achievement
278,30,m,single,n,achievement
279,27,f,single,n,achievement
280,33,m,married,y,achievement
281,25,m,single,n,achievement
282,24,f,single,n,achievement
283,38,f,married,y,achievement
284,34,m,single,n,achievement
285,43,m,single,n,achievement
286,24,m,single,n,achievement
287,35,m,single,y,achievement
288,23,f,married,y,achievement
289,31,m,single,n,achievement
293,23,m,single,n,achievement
294,21,f,single,n,achievement
295,34,m,single,n,achievement
296,24,f,single,n,achievement
297,54,f,married,y,achievement
298,26,f,single,n,achievement
299,25,m,married,y,achievement
300,33,m,married,y,achievement
301,41,f,married,y,achievement
302,25,m,single,n,achievement
303,27,f,single,n,achievement
304,22,f,single,n,achievement
305,31,m,single,n,achievement
306,37,f,single,n,achievement
307,22,f,single,n,achievement
308,23,f,single,n,achievement
309,24,m,single,n,achievement
311,27,m,single,n,achievement
312,44,m,married,y,achievement
313,22,f,single,n,achievement
314,33,m,married,n,achievement
316,21,m,single,n,achievement
317,32,m,single,n,achievement
319,41,m,married,y,achievement
320,39,m,single,n,achievement
321,23,f,married,n,achievement
322,25,m,single,n,achievement
323,29,m,married,n,achievement
324,26,m,single,n,achievement
325,34,m,single,n,achievement
326,36,m,single,n,achievement
328,40,m,married,y,achievement
332,31,m,married,y,achievement
333,27,m,single,n,achievement
334,23,f,single,n,achievement
335,22,f,single,n,achievement
338,38,f,single,n,achievement
339,32,m,single,n,achievement
340,43,f,married,y,achievement
341,29,f,married,y,achievement
342,32,f,single,n,achievement
343,38,m,married,y,achievement
344,21,f,single,n,achievement
345,41,m,married,y,achievement
346,23,f,single,n,achievement
347,40,f,married,y,achievement
348,22,f,single,n,achievement
349,24,m,single,n,achievement
350,36,m,married,y,achievement
351,37,m,single,n,achievement
352,23,f,single,n,achievement
353,29,m,single,n,achievement
354,26,m,single,n,achievement
355,27,m,married,y,achievement
356,25,m,single,n,achievement
357,26,m,married,n,achievement
358,22,f,single,n,achievement
359,40,f,married,y,achievement
360,31,m,married,y,achievement
361,31,m,single,n,achievement
362,25,f,single,n,achievement
363,29,f,married,n,achievement
364,26,f,single,n,achievement
365,30,m,married,y,achievement
366,34,f,married,y,achievement
367,21,m,single,n,achievement
368,38,f,married,y,achievement
369,37,m,single,n,achievement
370,21,m,single,y,achievement
371,29,m,single,n,achievement
372,19,m,single,n,achievement
373,26,f,single,n,achievement
374,40,m,single,n,achievement
375,30,f,married,y,achievement
376,23,f,single,n,achievement
377,36,m,married,y,achievement
378,22,f,single,n,achievement
379,52,m,single,n,achievement
380,26,m,single,n,achievement
381,27,f,married,y,achievement
382,32,m,single,n,achievement
384,38,f,single,n,achievement
385,25,f,single,n,achievement
386,25,f,single,n,achievement
387,33,m,single,n,achievement
388,30,m,single,n,achievement
390,31,m,single,n,achievement
391,36,m,married,n,achievement
392,49,f,married,y,achievement
393,41,f,married,y,achievement
394,24,m,single,n,achievement
395,33,m,single,n,achievement
396,34,f,married,y,achievement
397,26,m,single,n,achievement
398,29,m,single,n,achievement
399,27,m,single,n,achievement
400,26,m,single,n,achievement
401,41,m,single,n,achievement
402,26,m,married,n,achievement
403,31,m,married,n,achievement
404,28,m,single,n,achievement
405,27,m,single,y,achievement
406,28,f,single,n,achievement
407,26,m,single,n,achievement
408,31,f,single,n,achievement
409,30,f,married,y,achievement
410,29,f,single,n,achievement
411,38,m,married,y,achievement
412,25,f,married,y,achievement
413,29,m,married,y,achievement
414,29,m,single,n,achievement
415,23,m,single,n,achievement
416,29,f,married,y,achievement
417,25,m,single,n,achievement
418,36,m,married,n,achievement
419,40,m,married,y,achievement
420,38,f,married,y,achievement
421,48,m,married,n,achievement
422,26,f,single,n,achievement
423,29,f,married,n,achievement
425,30,f,single,n,achievement
426,23,f,single,n,achievement
427,37,m,married,y,achievement
428,21,m,single,n,achievement
429,28,m,single,n,achievement
430,26,f,married,y,achievement
431,29,m,single,n,achievement
432,47,m,married,y,achievement
433,26,m,single,n,achievement
434,36,f,single,n,achievement
435,27,m,single,n,achievement
436,30,f,married,y,achievement
437,30,m,single,n,achievement
438,32,m,married,n,achievement
439,22,m,single,n,achievement
440,30,m,single,n,achievement
441,29,f,married,n,achievement
442,32,f,single,n,achievement
443,31,f,single,n,achievement
444,32,m,single,n,achievement
445,32,m,single,n,achievement
446,40,m,married,y,achievement
447,55,f,married,y,achievement
448,27,f,married,y,achievement
449,28,m,married,y,achievement
450,39,m,married,n,achievement
451,23,m,single,n,achievement
452,52,m,married,y,achievement
454,30,m,single,n,achievement
455,29,m,married,y,achievement
456,28,f,single,n,achievement
457,30,m,single,y,achievement
458,34,m,single,n,achievement
459,33,m,single,n,achievement
460,22,m,single,n,achievement
462,47,m,married,y,achievement
463,49,m,married,y,achievement
464,25,m,single,n,achievement
465,25,m,single,n,achievement
466,32,m,married,y,achievement
467,54,f,single,n,achievement
468,40,m,married,y,achievement
469,32,m,married,y,achievement
470,33,f,married,y,achievement
471,53,f,single,n,achievement
472,23,m,single,n,achievement
473,37,f,single,y,achievement
475,31,f,married,y,achievement
476,25,m,single,n,affection
477,29,f,married,y,achievement
478,37,m,married,y,achievement
479,27,f,single,n,achievement
480,36,m,single,n,achievement
481,49,m,married,y,achievement
482,28,m,single,n,achievement
483,25,f,married,y,affection
485,28,f,single,n,achievement
486,34,m,married,y,achievement
488,31,f,married,y,achievement
489,39,m,married,y,achievement
490,19,f,single,n,achievement
491,30,f,married,y,achievement
492,24,m,single,n,achievement
493,39,m,married,y,achievement
494,28,f,single,n,achievement
495,25,m,single,n,achievement
496,49,m,single,n,achievement
497,26,f,single,n,achievement
498,27,m,married,y,achievement
499,46,m,single,n,achievement
500,24,f,single,n,achievement
502,26,m,single,y,achievement
503,40,m,single,n,achievement
504,39,m,single,n,achievement
505,25,f,single,n,achievement
506,40,m,married,y,achievement
507,34,m,single,n,achievement
508,35,f,married,y,achievement
509,31,m,single,n,achievement
510,47,f,married,n,achievement
511,23,m,single,n,achievement
512,23,m,single,n,achievement
513,41,m,married,y,achievement
515,34,m,married,y,achievement
516,29,m,single,y,achievement
517,42,m,single,n,achievement
518,24,m,single,n,achievement
519,32,f,single,n,achievement
521,42,f,married,y,achievement
522,28,m,married,n,achievement
523,22,m,single,n,achievement
524,42,m,married,y,achievement
525,52,m,married,y,achievement
526,22,m,single,n,achievement
527,35,f,married,y,achievement
528,29,f,married,y,achievement
529,31,m,married,y,achievement
531,29,m,married,n,achievement
533,51,f,single,n,achievement
534,51,f,married,n,achievement
535,22,f,single,n,achievement
536,34,f,married,y,achievement
537,24,m,single,n,achievement
538,24,f,married,y,achievement
539,20,f,single,n,achievement
540,21,m,single,n,affection
541,30,m,married,n,achievement
542,52,f,married,y,achievement
543,21,f,single,n,achievement
544,35,m,single,n,achievement
545,27,f,single,y,achievement
546,48,m,single,n,achievement
547,28,f,single,n,achievement
548,26,f,single,n,achievement
550,33,f,single,n,achievement
551,29,m,single,n,achievement
552,36,f,married,y,achievement
553,32,m,married,y,achievement
554,29,m,single,n,achievement
555,30,m,married,y,achievement
556,38,f,single,n,achievement
557,32,m,single,n,achievement
558,28,m,single,n,achievement
559,28,m,single,n,achievement
560,33,m,married,y,achievement
561,21,m,single,n,achievement
562,29,f,married,n,achievement
564,22,f,married,n,achievement
565,29,f,single,n,achievement
566,28,f,married,y,achievement
567,35,m,married,n,achievement
568,25,m,single,y,achievement
569,24,m,married,y,achievement
570,19,m,single,n,achievement
571,31,f,single,n,achievement
572,52,m,married,n,achievement
573,25,m,single,n,achievement
574,31,m,married,n,achievement
575,27,m,single,n,achievement
576,38,f,married,y,achievement
577,33,f,married,n,achievement
578,24,m,single,n,achievement
579,26,m,single,n,achievement
580,28,m,married,y,achievement
581,26,f,single,n,achievement
582,35,m,single,n,achievement
583,25,m,single,n,achievement
584,39,f,married,y,achievement
585,18,f,single,n,achievement
586,28,f,single,y,achievement
587,31,f,married,y,achievement
588,34,m,married,y,achievement
589,30,m,single,n,achievement
590,34,f,single,n,achievement
591,24,f,single,n,achievement
592,34,m,single,n,achievement
593,48,f,married,y,achievement
594,33,m,married,n,achievement
595,35,f,married,y,achievement
596,29,f,married,n,achievement
597,24,m,married,y,achievement
598,23,f,single,n,achievement
599,43,f,married,y,achievement
600,41,f,married,y,achievement
602,53,f,married,y,achievement
603,34,m,married,y,achievement
604,26,m,married,y,achievement
605,28,m,married,y,achievement
606,28,m,married,y,achievement
607,27,m,single,n,achievement
608,24,m,single,n,achievement
609,26,m,single,n,achievement
610,35,f,married,y,achievement
611,26,f,single,n,achievement
612,28,m,married,y,achievement
613,32,f,married,y,achievement
615,31,m,married,y,affection
616,32,f,married,y,achievement
617,43,m,married,y,achievement
618,32,m,single,n,achievement
619,22,m,married,n,achievement
620,25,m,single,n,achievement
622,36,m,single,n,achievement
623,39,m,married,n,achievement
624,34,m,single,n,achievement
625,41,f,married,y,achievement
626,50,m,married,y,achievement
627,30,m,married,n,achievement
629,24,m,single,y,achievement
630,42,f,married,y,achievement
631,35,m,single,n,achievement
632,40,m,married,y,achievement
633,33,m,single,n,achievement
634,32,m,single,n,achievement
635,28,f,single,n,achievement
636,24,m,single,n,achievement
637,33,f,single,n,achievement
638,31,m,married,n,achievement
639,27,m,single,n,achievement
640,49,f,married,y,achievement
641,24,m,single,n,achievement
642,30,m,married,y,achievement
643,31,m,married,y,achievement
644,26,m,single,n,achievement
645,26,f,married,y,achievement
646,28,m,married,y,achievement
647,39,f,married,y,achievement
648,24,m,married,n,achievement
649,31,m,single,n,achievement
650,30,f,married,n,achievement
651,35,m,married,y,achievement
652,34,m,single,n,achievement
653,20,m,single,n,achievement
654,29,m,single,n,achievement
655,24,m,single,n,achievement
656,36,f,married,n,achievement
657,29,m,single,n,achievement
658,28,m,single,n,achievement
659,30,f,single,y,achievement
660,27,m,single,n,achievement
661,20,m,single,n,achievement
662,52,f,single,n,achievement
663,32,m,married,y,achievement
664,31,m,single,y,achievement
666,22,f,single,n,achievement
667,26,m,single,n,achievement
668,36,m,single,n,achievement
669,39,m,single,n,achievement
670,36,f,married,y,achievement
671,34,m,married,y,achievement
672,22,f,single,n,achievement
674,26,m,single,n,achievement
675,38,m,married,y,achievement
676,35,m,single,n,achievement
678,28,m,single,n,achievement
679,29,m,married,y,achievement
680,26,m,married,y,achievement
681,29,f,married,y,achievement
682,23,m,single,n,achievement
683,27,m,single,n,achievement
684,26,m,single,n,achievement
685,39,m,married,y,achievement
686,45,f,married,y,achievement
687,27,m,single,n,achievement
689,23,f,single,n,achievement
690,29,f,single,n,achievement
691,20,m,single,n,achievement
692,41,f,married,y,achievement
693,25,f,single,y,achievement
694,33,m,married,y,achievement
695,41,m,married,y,achievement
696,35,m,single,n,achievement
697,26,m,single,n,achievement
698,35,m,married,y,achievement
699,21,m,single,n,achievement
700,26,f,single,n,achievement
701,30,f,married,n,achievement
702,29,m,married,n,achievement
703,26,m,single,n,achievement
704,27,m,single,n,achievement
705,19,m,single,n,achievement
706,45,f,married,n,achievement
707,26,f,single,n,achievement
708,25,m,single,n,achievement
710,34,m,married,y,achievement
711,36,f,married,y,achievement
712,28,m,single,n,achievement
713,27,m,single,n,achievement
714,29,m,single,n,achievement
715,21,m,single,n,achievement
716,31,f,married,y,achievement
717,20,m,single,n,achievement
718,32,m,single,n,achievement
719,22,m,single,n,achievement
721,23,f,single,n,achievement
722,23,m,single,n,achievement
723,32,m,single,n,achievement
724,29,f,married,y,achievement
725,37,f,married,y,achievement
727,28,m,single,n,achievement
728,36,f,married,y,achievement
729,31,m,married,y,affection
730,26,m,married,n,achievement
732,39,m,married,y,achievement
733,25,f,married,n,achievement
734,32,f,married,y,achievement
735,43,m,single,n,achievement
736,28,m,married,y,achievement
737,25,f,single,y,achievement
738,32,m,married,y,achievement
739,24,f,single,n,achievement
740,23,m,single,n,achievement
741,33,m,single,n,achievement
742,25,m,single,n,achievement
743,30,m,married,y,achievement
744,29,m,married,y,achievement
745,28,m,married,y,achievement
746,25,m,single,n,achievement
747,30,m,single,n,achievement
748,27,f,single,n,achievement
749,23,m,single,n,affection
750,33,m,single,y,achievement
751,21,m,single,n,achievement
752,32,m,single,n,achievement
753,43,m,married,y,achievement
754,50,f,single,n,achievement
756,30,f,single,n,achievement
757,25,m,single,n,achievement
758,34,m,married,y,achievement
759,43,f,married,y,achievement
761,35,f,married,y,achievement
763,35,m,single,n,achievement
764,31,m,married,n,achievement
765,30,m,single,n,achievement
766,21,m,single,n,achievement
767,23,m,single,n,achievement
768,53,f,married,y,achievement
769,32,f,married,y,achievement
771,20,m,single,n,achievement
772,34,f,married,y,achievement
773,23,f,single,n,achievement
775,26,f,single,n,achievement
776,26,f,married,n,achievement
777,31,m,single,n,achievement
778,36,f,married,y,achievement
779,26,m,married,y,achievement
780,26,m,single,n,achievement
781,22,m,single,n,achievement
783,27,f,single,y,achievement
784,22,f,married,n,achievement
785,23,m,single,n,achievement
786,30,f,single,n,achievement
787,24,m,single,n,achievement
788,29,m,single,n,achievement
789,42,m,single,n,achievement
790,28,f,married,y,achievement
792,28,f,single,n,achievement
794,37,m,single,n,achievement
795,36,f,married,n,achievement
796,20,m,single,y,achievement
797,30,m,married,n,achievement
798,39,m,married,y,achievement
799,24,f,single,n,achievement
800,34,m,single,n,achievement
801,27,m,single,n,achievement
802,40,m,married,y,achievement
803,28,m,single,n,achievement
804,25,m,single,n,achievement
805,35,m,single,n,achievement
806,26,m,single,n,achievement
807,22,m,single,n,achievement
808,25,m,single,n,achievement
809,30,m,married,n,achievement
810,25,m,single,n,achievement
811,38,f,married,y,achievement
813,25,m,single,n,achievement
814,50,f,single,n,achievement
815,24,m,single,n,achievement
816,31,f,single,n,achievement
817,29,m,single,n,achievement
818,34,m,married,y,achievement
819,35,f,married,y,achievement
820,24,m,single,n,achievement
821,26,m,single,n,achievement
822,31,m,married,n,achievement
823,28,m,married,y,achievement
824,26,f,married,n,achievement
825,29,m,single,n,achievement
826,27,f,single,y,achievement
827,25,m,single,n,achievement
828,49,m,single,n,achievement
830,26,m,single,n,achievement
833,54,f,married,y,achievement
834,25,f,married,n,achievement
835,30,m,single,n,achievement
836,27,m,married,y,achievement
838,37,f,single,n,achievement
839,41,m,single,n,achievement
841,30,f,married,y,achievement
842,27,m,single,n,achievement
843,33,f,married,y,achievement
844,19,m,single,n,achievement
845,32,f,married,y,achievement
846,28,f,single,y,achievement
847,23,m,single,n,achievement
848,30,f,married,y,affection
849,30,f,married,y,achievement
850,24,m,single,n,achievement
851,41,m,married,y,achievement
852,27,m,single,n,achievement
853,26,m,single,n,achievement
854,29,f,single,n,achievement
855,35,f,married,y,achievement
856,29,f,married,y,achievement
857,27,f,single,n,achievement
858,26,f,married,y,achievement
859,28,m,married,y,achievement
860,45,f,single,n,achievement
861,27,f,single,n,achievement
862,23,f,single,n,achievement
863,21,f,single,n,achievement
864,20,f,single,n,achievement
865,27,m,single,n,achievement
866,37,f,married,y,achievement
867,28,m,single,n,achievement
868,24,m,married,y,achievement
869,37,f,single,y,achievement
870,33,m,single,n,achievement
871,25,f,single,n,achievement
872,32,f,single,n,achievement
873,42,m,married,y,achievement
874,36,f,married,y,achievement
875,23,f,married,n,affection
876,26,m,single,n,affection
877,39,m,married,n,achievement
878,28,m,single,n,achievement
880,25,f,single,n,achievement
881,44,f,single,n,achievement
882,38,m,married,n,achievement
883,39,m,single,n,achievement
884,22,f,married,n,achievement
885,39,m,married,y,achievement
886,29,f,single,n,achievement
887,35,m,single,n,achievement
888,23,f,single,n,achievement
890,43,f,married,y,achievement
891,23,f,single,n,achievement
892,28,f,married,y,achievement
893,32,m,married,y,achievement
894,32,m,married,y,achievement
895,30,f,married,y,achievement
896,35,m,married,y,achievement
897,31,f,single,n,achievement
898,41,f,single,y,achievement
899,30,m,married,n,achievement
900,30,f,married,y,achievement
901,30,m,married,n,achievement
903,29,m,single,n,achievement
904,25,m,married,y,achievement
905,24,m,single,n,achievement
906,24,m,single,n,achievement
907,35,m,married,y,achievement
908,19,m,single,n,achievement
909,29,m,single,n,achievement
910,48,m,married,y,achievement
911,32,m,married,y,achievement
912,23,f,single,n,achievement
913,21,m,single,n,achievement
914,28,m,single,n,achievement
915,26,f,single,n,achievement
916,47,m,married,y,achievement
917,24,m,single,n,achievement
918,36,m,married,n,achievement
919,26,m,single,n,achievement
920,25,m,married,n,achievement
921,28,m,single,n,achievement
922,31,f,single,n,achievement
923,28,m,single,y,achievement
924,25,f,married,y,achievement
925,28,f,single,n,achievement
926,29,m,single,n,achievement
927,34,m,married,y,achievement
928,27,m,single,n,achievement
929,25,m,single,n,achievement
931,54,f,married,n,achievement
932,21,m,single,n,achievement
933,31,m,single,n,achievement
934,24,f,single,n,achievement
935,24,f,single,y,achievement
936,27,m,married,n,achievement
937,34,m,single,y,achievement
938,27,m,single,n,achievement
939,24,f,single,n,achievement
940,27,m,single,n,achievement
941,23,m,single,n,achievement
942,32,m,married,y,achievement
943,36,f,single,n,achievement
944,51,f,married,y,achievement
945,29,m,married,n,achievement
946,23,m,single,n,achievement
947,25,m,single,n,achievement
948,40,m,single,n,achievement
949,29,m,married,n,achievement
950,25,f,single,n,achievement
952,27,f,single,n,achievement
954,30,m,married,n,affection
955,30,m,married,n,achievement
956,28,m,single,n,achievement
957,32,m,single,y,achievement
958,32,m,married,n,achievement
959,26,f,married,n,achievement
960,22,m,single,n,achievement
961,35,m,married,y,achievement
962,25,f,married,y,achievement
963,32,f,married,y,achievement
964,34,f,married,n,achievement
965,21,f,single,n,achievement
966,21,m,single,n,achievement
967,29,m,single,n,achievement
968,35,m,single,n,achievement
969,23,m,married,n,achievement
970,23,f,single,n,achievement
971,34,f,single,y,achievement
972,29,m,single,y,achievement
973,32,m,married,y,achievement
974,24,m,single,n,achievement
975,29,f,married,y,achievement
976,25,f,married,y,achievement
977,24,m,single,n,achievement
978,33,m,married,n,achievement
979,40,f,married,n,achievement
980,30,f,married,n,achievement
981,22,m,single,n,achievement
982,35,f,married,y,achievement
983,35,m,married,y,achievement
984,35,f,married,y,achievement
985,23,m,single,n,achievement
986,24,f,single,n,achievement
987,28,m,single,n,achievement
988,32,m,married,y,achievement
989,27,m,single,n,achievement
991,30,m,single,n,achievement
992,25,f,single,n,achievement
993,30,f,married,y,achievement
994,22,m,single,n,achievement
995,30,f,married,y,achievement
996,22,m,single,n,achievement
997,26,f,single,n,achievement
998,28,m,single,y,achievement
999,29,m,married,n,achievement
1000,31,f,married,n,achievement
1001,30,m,single,n,achievement
1003,26,m,married,n,achievement
1004,33,m,married,y,achievement
1005,27,f,single,n,achievement
1006,27,m,single,n,achievement
1008,21,m,single,n,achievement
1009,30,m,single,n,achievement
1010,27,f,single,n,achievement
1012,44,m,single,n,achievement
1013,22,m,single,n,achievement
1014,23,m,single,n,achievement
1015,29,f,married,y,achievement
1016,33,m,married,y,achievement
1017,30,f,single,n,achievement
1018,34,f,single,n,achievement
1019,33,m,married,n,achievement
1020,37,m,married,y,achievement
1021,21,f,single,n,achievement
1022,32,m,married,n,achievement
1023,30,m,single,n,achievement
1024,34,m,single,y,achievement
1025,49,m,married,y,achievement
1026,25,m,single,n,achievement
1027,35,f,married,y,achievement
1028,26,f,married,y,achievement
1029,37,f,married,y,achievement
1030,22,m,single,n,achievement
1032,25,m,single,n,achievement
1033,30,m,married,y,achievement
1034,21,m,single,n,achievement
1035,31,m,married,n,achievement
1036,22,m,single,n,achievement
1037,23,m,single,n,achievement
1039,37,m,married,y,achievement
1040,34,f,married,y,achievement
1041,48,m,single,n,achievement
1042,28,m,single,n,achievement
1043,26,m,single,n,achievement
1044,27,f,married,y,achievement
1045,34,m,married,y,achievement
1046,35,m,married,y,achievement
1048,31,m,married,n,achievement
1049,23,f,single,n,achievement
1050,34,m,married,y,achievement
1051,22,f,single,n,achievement
1053,28,m,single,n,achievement
1054,41,f,single,y,achievement
1055,29,f,single,n,achievement
1056,38,m,single,n,achievement
1057,27,m,married,y,achievement
1058,32,f,married,n,achievement
1059,28,m,single,n,achievement
1060,39,m,married,n,achievement
1061,38,m,married,y,achievement
1062,20,f,single,n,achievement
1063,25,f,married,n,affection
1064,26,f,married,n,achievement
1065,36,f,single,n,achievement
1066,40,f,married,y,achievement
1067,34,m,single,y,achievement
1068,33,m,single,n,achievement
1069,38,m,single,y,achievement
1070,30,m,married,y,achievement
1071,29,m,married,n,achievement
1074,40,m,married,y,achievement
1075,43,m,married,y,achievement
1076,36,f,married,y,achievement
1077,26,m,single,n,achievement
1078,27,m,single,n,achievement
1079,28,f,single,y,achievement
1080,23,m,single,n,achievement
1081,29,m,single,n,achievement
